1,0,42,0,10,0
2,0,45,0,10,0
3,0,0,85680,10,0
4,0,3,0,10,0
5,0.1,42,0,10,0
6,0.1,45,0,10,0
7,0.1,0,85680,10,0
8,0.1,3,0,10,0
9,0.2,42,0,10,0
10,0.2,45,0,10,0
11,0.2,0,85680,10,0
12,0.2,3,0,10,0
13,0.3,42,0,10,0
14,0.3,45,0,10,0
15,0.3,0,85680,10,0
16,0.3,3,0,10,0
17,0.4,42,0,10,0
18,0.4,45,0,10,0
19,0.4,0,85680,10,0
20,0.4,3,0,10,0
21,0.5,42,0,10,0
22,0.5,45,0,10,0
23,0.5,0,85680,10,0
24,0.5,3,0,10,0
25,0.6,42,0,10,0
26,0.6,45,0,10,0
27,0.6,0,85680,10,0
28,0.6,3,0,10,0
29,0.7,42,0,10,0
30,0.7,45,0,10,0
31,0.7,0,85680,10,0
32,0.7,3,0,10,0
33,0.8,42,0,10,0
34,0.8,45,0,10,0
35,0.8,0,85680,10,0
36,0.8,3,0,10,0
37,0.9,42,0,10,0
38,0.9,45,0,10,0
39,0.9,0,85680,10,0
40,0.9,3,0,10,0
41,1,42,0,10,0
42,1,45,0,10,0
43,1,0,85680,10,0
44,1,3,0,10,0
45,1.1,42,0,10,0
46,1.1,45,0,10,0
47,1.1,0,85680,10,0
48,1.1,3,0,10,0
49,1.2,42,0,10,0
50,1.2,45,0,10,0
51,1.2,0,85680,10,0
52,1.2,3,0,10,0
53,1.3,42,0,10,0
54,1.3,45,0,10,0
55,1.3,0,85680,10,0
56,1.3,3,0,10,0
57,1.4,42,0,10,0
58,1.4,45,0,10,0
59,1.4,0,85680,10,0
60,1.4,3,0,10,0
61,1.5,42,0,10,0
62,1.5,45,0,10,0
63,1.5,0,85680,10,0
64,1.5,3,0,10,0
65,1.6,42,0,10,0
66,1.6,45,0,10,0
67,1.6,0,85680,10,0
68,1.6,3,0,10,0
69,1.7,42,0,10,0
70,1.7,45,0,10,0
71,1.7,0,85680,10,0
72,1.7,3,0,10,0
73,1.8,42,0,10,0
74,1.8,45,0,10,0
75,1.8,0,85680,10,0
76,1.8,3,0,10,0
77,1.9,42,0,10,0
78,1.9,45,0,10,0
79,1.9,0,85680,10,0
80,1.9,3,0,10,0
81,2,42,0,10,0
82,2,45,0,10,0
83,2,0,85680,10,0
84,2,3,0,10,0
85,2.1,42,0,10,0
86,2.1,45,0,10,0
87,2.1,0,85680,10,0
88,2.1,3,0,10,0
89,2.2,42,0,10,0
90,2.2,45,0,10,0
91,2.2,0,85680,10,0
92,2.2,3,0,10,0
93,2.3,42,0,10,0
94,2.3,45,0,10,0
95,2.3,0,85680,10,0
96,2.3,3,0,10,0
97,2.4,42,0,10,0
98,2.4,45,0,10,0
99,2.4,0,85680,10,0
100,2.4,3,0,10,0
101,2.5,42,0,10,0
102,2.5,45,0,10,0
103,2.5,0,85680,10,0
104,2.5,3,0,10,0
105,2.6,42,0,10,0
106,2.6,45,0,10,0
107,2.6,0,85680,10,0
108,2.6,3,0,10,0
109,2.7,42,0,10,0
110,2.7,45,0,10,0
111,2.7,0,85680,10,0
112,2.7,3,0,10,0
113,2.8,42,0,10,0
114,2.8,45,0,10,0
115,2.8,0,85680,10,0
116,2.8,3,0,10,0
117,2.9,42,0,10,0
118,2.9,45,0,10,0
119,2.9,0,85680,10,0
120,2.9,3,0,10,0
121,3,42,0,10,0
122,3,45,0,10,0
123,3,0,85680,10,0
124,3,3,0,10,0
125,3.1,42,0,10,0
126,3.1,45,0,10,0
127,3.1,0,85680,10,0
128,3.1,3,-47.851,10,0
129,3.2,42,0,10,0
130,3.2,45,0,10,0
131,3.2,0,85680,10,0
132,3.2,3,-95.701,10,0
133,3.3,42,0,10,0
134,3.3,45,0,10,0
135,3.3,0,85680,10,0
136,3.3,3,-143.55,10,0
137,3.4,42,0,10,0
138,3.4,45,0,10,0
139,3.4,0,85680,10,0
140,3.4,3,-191.4,10,0
141,3.5,42,0,10,0
142,3.5,45,0,10,0
143,3.5,0,85680,10,0
144,3.5,3,-239.25,10,0
145,3.6,42,0,10,0
146,3.6,45,0,10,0
147,3.6,0,85680,10,0
148,3.6,3,-287.1,10,0
149,3.7,42,0,10,0
150,3.7,45,0,10,0
151,3.7,0,85680,10,0
152,3.7,3,-334.96,10,0
153,3.8,42,0,10,0
154,3.8,45,0,10,0
155,3.8,0,85680,10,0
156,3.8,3,-382.81,10,0
157,3.9,42,0,10,0
