#Frame	1
X	-8
Y	-16
X	-8
C	62
X	-8
Y	-16
X	-8
a	8884
X	-8
Y	-8
X	-8
m	8964
X	8
Y	-8
X	8
3	8964
X	0
Y	-8
X	0
4	0
X	-17
Y	-16
X	0
F	0
X	8
Y	-8
X	-8
b	8964
X	-8
Y	-8
X	0
T	10454
X	-8
Y	-8
X	0
P	21331
X	-8
Y	-16
X	8
V	0
p	1520
t	0
v	-13
t	0
#Frame	2
X	-8
Y	-8
X	-17
C	125
X	0
Y	0
X	-8
a	8884
X	-8
Y	-16
X	-8
m	8964
X	8
Y	-8
X	0
3	8964
X	-8
Y	-8
X	-8
4	0
X	-8
Y	-16
X	0
F	0
X	0
Y	-8
X	-8
b	8964
X	0
Y	-8
X	-8
T	10451
X	-8
Y	-16
X	-8
P	21331
X	-8
Y	-16
X	0
V	0
p	1520
t	0
v	-13
t	0
#Frame	3
X	0
Y	0
X	0
C	125
X	-8
Y	-8
X	-8
a	8884
X	-8
Y	-8
X	-8
m	8964
X	0
Y	-8
X	0
3	8964
X	0
Y	-8
X	-8
4	0
X	0
Y	0
X	0
F	0
X	0
Y	-16
X	0
b	8964
X	0
Y	-16
X	-8
T	10454
X	-8
Y	-16
X	0
P	21331
X	0
Y	0
X	-8
V	0
p	1520
t	0
v	-13
t	0
#Frame	4
X	-8
Y	-16
X	0
C	125
X	-8
Y	-16
X	0
a	8884
X	8
Y	0
X	0
m	8964
X	-8
Y	-8
X	0
3	8964
X	-17
Y	-8
X	8
4	0
X	-17
Y	-16
X	8
F	0
X	132
Y	0
X	212
b	8964
X	698
Y	33
X	786
T	10454
X	998
Y	8
X	1043
P	21332
X	1069
Y	16
X	910
V	0
p	1520
t	0
v	-13
t	0
#Frame	5
X	875
Y	-33
X	830
C	62
X	813
Y	59
X	822
a	8884
X	786
Y	-50
X	777
m	8964
X	795
Y	-16
X	795
3	8964
X	777
Y	-67
X	777
4	0
X	777
Y	33
X	751
F	0
X	760
Y	-50
X	795
b	8924
X	777
Y	16
X	848
T	10451
X	760
Y	-33
X	733
P	21332
X	786
Y	-33
X	795
V	44
p	0
t	0
v	-15
t	0
#Frame	7
X	813
Y	16
X	804
C	62
X	786
Y	-50
X	804
a	8844
X	848
Y	-33
X	839
m	8904
X	857
Y	-33
X	671
3	8924
X	724
Y	33
X	892
4	0
X	830
Y	-33
X	822
F	-11020
X	804
Y	-8
X	786
b	8904
X	795
Y	0
X	786
T	10451
X	777
Y	-33
X	795
P	21332
X	777
Y	0
X	786
V	198
p	0
t	0
v	-15
t	0
#Frame	8
X	769
Y	16
X	777
C	125
X	786
Y	-33
X	777
a	8844
X	777
Y	16
X	777
m	8904
X	760
Y	16
X	777
3	8924
X	751
Y	-16
X	751
4	0
X	751
Y	33
X	777
F	-11020
X	777
Y	-33
X	751
b	8904
X	751
Y	-25
X	769
T	10451
X	751
Y	-33
X	751
P	21333
X	751
Y	0
X	751
V	302
p	0
t	0
v	-16
t	0
#Frame	9
X	751
Y	33
X	751
C	125
X	751
Y	0
X	751
a	8823
X	751
Y	16
X	751
m	8904
X	724
Y	8
X	742
3	8904
X	751
Y	33
X	751
4	0
X	751
Y	-25
X	751
F	-11020
X	751
Y	-76
X	751
b	8904
X	751
Y	0
X	751
T	10451
X	751
Y	-16
X	751
P	21333
X	751
Y	-33
X	751
V	438
p	0
t	0
v	-19
t	0
#Frame	10
X	751
Y	-33
X	742
C	62
X	742
Y	-16
X	742
a	8844
X	733
Y	-76
X	724
m	8904
X	751
Y	-33
X	751
3	8924
X	751
Y	-93
X	760
4	0
X	777
Y	101
X	751
F	-11020
X	742
Y	-67
X	716
b	8904
X	707
Y	16
X	742
T	10451
X	742
Y	-169
X	769
P	21332
X	733
Y	8
X	742
V	548
p	0
t	0
v	-17
t	0
#Frame	11
X	742
Y	-50
X	716
C	62
X	760
Y	-16
X	769
a	8844
X	742
Y	-33
X	724
m	8904
X	751
Y	-93
X	769
3	8924
X	751
Y	-33
X	769
4	0
X	751
Y	152
X	760
F	-11020
X	769
Y	-93
X	769
b	8904
X	751
Y	-135
X	742
T	10454
X	751
Y	-16
X	760
P	21330
X	751
Y	42
X	751
