Time@Axial Accel (Gs),Axial Accel (Gs)
0,0.82
0.0025,0.82
0.005,0.82
0.0075,0.82
0.01,0.82
0.0125,0.82
0.015,0.98
0.0175,0.98
0.02,0.9
0.0225,0.9
0.025,0.73
0.0275,0.9
0.03,0.98
0.0325,0.82
0.035,0.82
0.0375,0.9
0.04,0.82
0.0425,0.9
0.045,0.82
0.0475,0.98
0.05,0.82
0.0525,0.73
0.055,0.9
0.0575,0.82
0.06,0.82
0.0625,0.82
0.065,0.98
0.0675,0.9
0.07,0.82
0.0725,0.82
0.075,0.82
0.0775,0.9
0.08,0.9
0.0825,0.82
0.085,0.9
0.0875,0.82
0.09,0.82
0.0925,0.82
0.095,0.82
0.0975,0.9
0.1,0.9
0.1025,0.9
0.105,0.82
0.1075,0.82
0.11,0.82
0.1125,0.82
0.115,0.9
0.1175,0.9
0.12,0.9
0.1225,0.82
0.125,0.9
0.1275,0.9
0.13,0.9
0.1325,0.9
0.135,0.9
0.1375,0.82
0.14,0.82
0.1425,0.9
0.145,0.9
0.1475,0.82
0.15,0.82
0.1525,0.9
0.155,0.82
0.1575,0.9
0.16,0.98
0.1625,0.9
0.165,0.82
0.1675,0.9
0.17,0.73
0.1725,0.98
0.175,0.73
0.1775,0.98
0.18,2.22
0.1825,3.02
0.185,7.88
0.1875,8.76
0.19,10.88
0.1925,11.33
0.195,11.59
0.1975,10
0.2,9.65
0.2025,9.2
0.205,9.03
0.2075,9.12
0.21,8.76
0.2125,8.67
0.215,8.85
0.2175,8.85
0.22,8.67
0.2225,8.67
0.225,8.67
0.2275,8.41
0.23,8.5
0.2325,8.85
0.235,8.67
0.2375,9.38
0.24,8.5
0.2425,8.23
0.245,8.76
0.2475,8.85
0.25125,9.03
0.25375,8.94
0.25625,8.76
0.25875,8.94
0.26125,9.38
0.26375,9.29
0.26625,9.47
0.26875,7.61
0.27125,8.14
0.27375,9.82
0.27625,9.2
0.27875,9.12
0.28125,8.94
0.28375,8.76
0.28625,8.85
0.28875,8.76
0.29125,8.67
0.29375,8.85
0.29625,8.67
0.29875,8.76
0.30125,8.59
0.30375,8.67
0.30625,8.76
0.30875,8.67
0.31125,8.67
0.31375,8.67
0.31625,8.5
0.31875,8.67
0.32125,8.41
0.32375,8.41
0.32625,8.41
0.32875,8.67
0.33125,8.67
0.33375,8.41
0.33625,8.41
0.33875,8.59
0.34125,8.41
0.34375,8.41
0.34625,8.41
0.34875,8.41
0.35125,8.41
0.35375,8.41
0.35625,8.41
0.35875,8.41
0.36125,8.41
0.36375,8.41
0.36625,8.14
0.36875,8.32
0.37125,8.41
0.37375,8.41
0.37625,8.41
0.37875,8.41
0.38125,8.41
0.38375,8.41
0.38625,8.41
0.38875,8.41
0.39125,8.41
0.39375,8.41
0.39625,8.41
0.39875,8.41
0.40125,8.41
0.40375,8.32
0.40625,8.32
0.40875,8.32
0.41125,8.23
0.41375,8.14
0.41625,8.41
0.41875,8.41
0.42125,8.41
0.42375,8.5
0.42625,8.67
0.42875,8.41
0.43125,8.32
0.43375,8.06
0.43625,7.97
0.43875,8.32
0.44125,8.32
0.44375,8.59
0.44625,8.23
0.44875,8.32
0.45125,8.32
0.45375,8.06
0.45625,8.5
0.45875,8.59
0.46125,8.32
0.46375,8.14
0.46625,8.41
0.46875,8.59
0.47125,8.41
0.47375,8.59
0.47625,8.41
0.47875,8.5
0.48125,8.59
0.48375,8.59
0.48625,8.41
0.48875,8.32
0.49125,8.41
0.49375,8.5
0.49625,8.41
0.49875,8.41
0.50125,8.59
0.50375,8.41
0.50625,8.5
0.50875,8.5
0.51125,8.67
0.51375,8.32
0.51625,8.41
0.51875,8.5
0.52125,8.14
0.52375,8.06
0.52625,8.23
0.52875,8.06
0.53125,8.06
0.53375,8.41
0.53625,8.59
0.53875,8.41
0.54125,8.41
0.54375,8.5
0.54625,8.41
0.54875,8.41
0.55125,8.41
0.55375,7.97
0.55625,8.06
0.55875,8.32
0.56125,8.32
0.56375,8.14
0.56625,8.14
0.56875,8.32
0.57125,7.97
0.57375,8.06
0.57625,8.23
0.57875,8.06
0.58125,7.97
0.58375,7.7
0.58625,8.23
0.58875,8.23
0.59125,8.23
0.59375,8.32
0.59625,8.23
0.59875,8.23
0.60125,8.32
0.60375,7.88
0.60625,8.14
0.60875,8.32
0.61125,8.23
0.61375,7.97
0.61625,8.23
0.61875,8.06
0.62125,8.23
0.62375,7.88
0.62625,8.14
0.62875,8.23
0.63125,8.23
0.63375,8.23
0.63625,8.06
0.63875,8.06
0.64125,8.06
0.64375,8.23
0.64625,8.32
0.64875,8.23
0.65125,8.23
0.65375,7.88
0.65625,7.88
0.65875,8.06
0.66125,7.79
0.66375,8.06
0.66625,7.97
0.66875,7.97
0.67125,8.14
0.67375,8.23
0.67625,8.23
0.67875,8.23
0.68125,8.23
0.68375,8.14
0.68625,7.97
0.68875,8.32
0.69125,8.23
0.69375,8.23
0.69625,8.14
0.69875,8.14
0.70125,8.14
0.70375,8.14
0.70625,7.88
0.70875,7.97
0.71125,8.32
0.71375,8.23
0.71625,7.97
0.71875,8.23
0.72125,8.23
0.72375,7.88
0.72625,7.79
0.72875,7.97
0.73125,8.23
0.73375,8.23
0.73625,8.32
0.73875,8.32
0.74125,8.32
0.74375,8.32
0.74625,8.23
0.74875,7.7
0.75125,8.06
0.75375,8.23
0.75625,8.23
0.75875,8.23
0.76125,8.23
0.76375,8.23
0.76625,8.06
0.76875,8.41
0.77125,8.32
0.77375,8.32
0.77625,8.32
0.77875,8.32
0.78125,8.41
0.78375,8.32
0.78625,8.32
0.78875,8.32
0.79125,8.32
0.79375,8.41
0.79625,8.41
0.79875,8.06
0.80125,8.41
0.80375,8.41
0.80625,8.41
0.80875,8.41
0.81125,8.41
0.81375,8.5
0.81625,8.5
0.81875,8.5
0.82125,8.5
0.82375,8.41
0.82625,8.41
0.82875,8.41
0.83125,8.5
0.83375,8.41
0.83625,8.06
0.83875,8.5
0.84125,8.59
0.84375,8.67
0.84625,8.41
0.84875,8.14
0.85125,8.23
0.85375,8.41
0.85625,8.5
0.85875,8.67
0.86125,8.67
0.86375,8.41
0.86625,8.41
0.86875,8.5
0.87125,8.5
0.87375,8.59
0.87625,8.41
0.87875,8.85
0.88125,8.85
0.88375,8.94
0.88625,8.67
0.88875,8.5
0.89125,8.59
0.89375,8.76
0.89625,8.5
0.89875,8.59
0.90125,8.5
0.90375,8.59
0.90625,8.59
0.90875,8.59
0.91125,8.59
0.91375,8.67
0.91625,8.76
0.91875,8.59
0.92125,8.59
0.92375,8.23
0.92625,8.59
0.92875,8.5
0.93125,8.59
0.93375,8.41
0.93625,8.59
0.93875,8.59
0.94125,8.67
0.94375,8.67
0.94625,8.59
0.94875,8.76
0.95125,8.14
0.95375,8.59
0.95625,8.5
0.95875,8.67
0.96125,8.67
0.96375,8.76
0.96625,8.5
0.96875,8.76
0.97125,8.76
0.97375,8.67
0.97625,8.85
0.97875,8.94
0.98125,8.85
0.98375,8.59
0.98625,8.85
0.98875,8.85
0.99125,8.85
0.99375,8.85
0.99625,8.59
0.99875,8.67
1.00125,8.76
1.00375,8.59
1.00625,8.76
1.00875,8.59
1.01125,8.85
1.01375,8.67
1.01625,8.76
1.01875,8.76
1.02125,8.76
1.02375,8.85
1.02625,8.94
1.02875,8.76
1.03125,8.85
1.03375,8.76
1.03625,8.67
1.03875,8.67
1.04125,8.76
1.04375,8.67
1.04625,8.76
1.04875,8.67
1.05125,8.85
1.05375,8.85
1.05625,8.85
1.05875,8.59
1.06125,8.67
1.06375,8.94
1.06625,8.67
1.06875,8.85
1.07125,8.85
1.07375,8.85
1.07625,8.85
1.07875,9.03
1.08125,8.76
1.08375,8.67
1.08625,8.94
1.08875,8.76
1.09125,8.85
1.09375,8.85
1.09625,8.85
1.09875,8.94
1.10125,8.94
1.10375,8.94
1.10625,9.29
1.10875,8.85
1.11125,9.03
1.11375,8.94
1.11625,9.03
1.11875,8.94
1.12125,9.03
1.12375,9.03
1.12625,9.03
1.12875,8.85
1.13125,8.76
1.13375,8.94
1.13625,9.12
1.13875,9.12
1.14125,9.03
1.14375,8.85
1.14625,9.12
1.14875,9.29
1.15125,9.38
1.15375,8.94
1.15625,9.03
1.15875,8.94
1.16125,9.2
1.16375,9.29
1.16625,9.47
1.16875,9.56
1.17125,9.29
1.17375,9.12
1.17625,8.94
1.17875,9.29
1.18125,8.76
1.18375,8.76
1.18625,9.2
1.18875,9.03
1.19125,9.38
1.19375,9.29
1.19625,9.29
1.19875,9.38
1.20125,9.2
1.20375,9.47
1.20625,9.29
1.20875,9.82
1.21125,9.12
1.21375,9.2
1.21625,9.2
1.21875,8.5
1.22125,9.03
1.22375,8.85
1.22625,9.2
1.22875,9.47
1.23125,9.2
1.23375,9.12
1.23625,9.12
1.23875,9.29
1.24125,9.2
1.24375,9.38
1.24625,9.38
1.24875,9.38
1.25125,9.38
1.25375,9.38
1.25625,9.03
1.25875,9.12
1.26125,9.03
1.26375,8.5
1.26625,8.85
1.26875,9.12
1.27125,9.29
1.27375,9.47
1.27625,9.38
1.27875,9.12
1.28125,9.2
1.28375,9.47
1.28625,9.29
1.28875,8.94
1.29125,9.47
1.29375,9.29
1.29625,9.38
1.29875,9.2
1.30125,9.38
1.30375,9.12
1.30625,9.03
1.30875,8.94
1.31125,9.2
1.31375,9.2
1.31625,9.2
1.31875,9.12
1.32125,9.03
1.32375,9.29
1.32625,9.2
1.32875,9.2
1.33125,9.38
1.33375,8.94
1.33625,9.12
1.33875,9.03
1.34125,8.94
1.34375,9.12
1.34625,8.94
1.34875,9.03
1.35125,9.12
1.35375,9.03
1.35625,9.12
1.35875,9.03
1.36125,8.94
1.36375,9.2
1.36625,8.94
1.36875,9.2
1.37125,9.12
1.37375,8.94
1.37625,8.76
1.37875,9.2
1.38125,9.03
1.38375,9.47
1.38625,9.29
1.38875,9.03
1.39125,8.59
1.39375,8.67
1.39625,8.85
1.39875,9.2
1.40125,8.94
1.40375,9.12
1.40625,9.03
1.40875,9.12
1.41125,9.12
1.41375,9.03
1.41625,9.03
1.41875,8.94
1.42125,9.12
1.42375,9.03
1.42625,9.2
1.42875,9.03
1.43125,9.03
1.43375,9.2
1.43625,8.76
1.43875,9.03
1.44125,9.03
1.44375,9.12
1.44625,9.12
1.44875,9.29
1.45125,9.91
1.45375,9.47
1.45625,9.82
1.45875,9.65
1.46125,9.12
1.46375,8.76
1.46625,8.76
1.46875,8.94
1.47125,8.94
1.47375,9.38
1.47625,9.65
1.47875,10.18
1.48125,10
1.48375,8.67
1.48625,8.76
1.48875,9.12
1.49125,9.12
1.49375,9.12
1.49625,9.65
1.49875,9.47
1.50125,9.38
1.50375,9.12
1.50625,9.03
1.50875,8.59
1.51125,8.85
1.51375,8.85
1.51625,9.03
1.51875,9.03
1.52125,9.29
1.52375,9.12
1.52625,8.94
1.52875,8.94
1.53125,8.94
1.53375,9.03
1.53625,8.94
1.53875,8.85
1.54125,8.94
1.54375,9.03
1.54625,9.12
1.54875,9.12
1.55125,9.2
1.55375,8.94
1.55625,8.94
1.55875,8.85
1.56125,9.03
1.56375,8.76
1.56625,8.85
1.56875,8.94
1.57125,9.03
1.57375,9.74
1.57625,9.29
1.57875,9.56
1.58125,9.03
1.58375,8.85
1.58625,8.67
1.58875,8.94
1.59125,9.12
1.59375,8.85
1.59625,9.38
1.59875,9.29
1.60125,9.12
1.60375,8.5
1.60625,9.56
1.60875,8.85
1.61125,9.29
1.61375,9.12
1.61625,9.2
1.61875,9.2
1.62125,8.67
1.62375,8.94
1.62625,8.94
1.62875,8.76
1.63125,8.67
1.63375,8.85
1.63625,8.67
1.63875,8.94
1.64125,8.85
1.64375,8.67
1.64625,9.12
1.64875,9.47
1.65125,9.03
1.65375,9.29
1.65625,9.12
