timestamp [ms],sats,lat,lon,alt
2950417,12,32.943436,-106.91378,1392.4
2950527,12,32.943436,-106.91378,1392.5
2950637,12,32.943436,-106.91378,1392.5
2950747,12,32.943436,-106.91378,1392.6
2950857,12,32.943436,-106.91378,1392.5
2950967,12,32.943436,-106.91378,1392.5
2951187,12,32.943436,-106.91378,1392.5
2951297,12,32.943436,-106.91378,1392.5
2951407,12,32.943436,-106.91378,1392.5
2951517,12,32.943436,-106.91378,1392.5
2951627,12,32.943436,-106.91378,1392.6
2951737,12,32.943436,-106.91378,1392.6
2951847,12,32.943436,-106.91378,1392.6
2951957,12,32.943436,-106.91378,1392.6
2952067,12,32.943436,-106.91378,1392.7
2952177,12,32.943436,-106.91378,1392.7
2952287,12,32.943436,-106.91378,1392.7
2952397,12,32.943436,-106.91378,1392.5
2952507,12,32.943436,-106.91378,1392.5
2952617,12,32.943436,-106.91378,1392.5
2952727,12,32.943436,-106.913788,1392.3
2952837,12,32.943436,-106.913788,1392.1
2952947,12,32.943436,-106.913788,1392
2953057,12,32.943436,-106.913788,1391.9
2953167,12,32.943436,-106.913788,1391.9
2953277,12,32.943436,-106.913788,1391.9
2953387,12,32.943436,-106.913788,1391.9
2953497,12,32.943436,-106.913788,1391.9
2953607,12,32.943436,-106.913788,1391.9
2953717,12,32.943436,-106.913788,1391.9
2953937,12,32.943436,-106.913788,1391.9
2954047,12,32.943436,-106.913788,1391.9
2954157,12,32.943436,-106.913788,1391.9
2954267,12,32.943436,-106.913788,1391.9
2954377,12,32.943436,-106.913788,1391.9
2954487,12,32.943436,-106.913788,1391.9
2954597,12,32.943436,-106.913788,1391.9
2954707,12,32.943436,-106.913788,1391.9
2954817,12,32.943436,-106.913788,1391.9
2954927,12,32.943436,-106.913788,1391.9
2955147,12,32.943436,-106.913788,1391.9
2955257,12,32.943436,-106.913788,1391.9
2955367,12,32.943436,-106.913788,1391.9
2955477,12,32.943436,-106.913788,1391.9
2955587,1,3528.71875,0,0.63
2955697,12,32.943436,-106.913788,1391.8
2955807,12,32.943436,-106.913788,1391.8
2955917,12,32.943436,-106.913788,1391.8
2956027,12,32.943436,-106.913788,1391.9
2956137,12,32.943436,-106.913788,1391.9
2956247,12,32.943436,-106.913788,1391.9
2956357,12,32.943436,-106.913788,1391.8
2956467,12,32.943436,-106.913788,1391.9
2956577,12,32.943436,-106.913788,1391.9
2956687,12,32.943436,-106.913788,1391.9
2956797,12,32.943436,-106.913788,1391.9
2956907,12,32.943436,-106.913788,1391.9
2957127,12,32.943436,-106.913788,1391.8
2957237,12,32.943436,-106.913788,1391.8
2957347,12,32.943436,-106.913788,1391.8
