Time@Axial Accel (Gs),Axial Accel (Gs)
0.89625,9.85
0.89875,9.76
0.90125,9.66
0.90375,9.76
0.90625,9.47
0.90875,9.66
0.91125,9.57
0.91375,9.85
0.91625,10.05
0.91875,9.95
0.92125,9.85
0.92375,9.85
0.92625,9.66
0.92875,9.95
0.93125,9.95
0.93375,9.85
0.93625,9.57
0.93875,9.57
0.94125,10.24
0.94375,9.95
0.94625,9.95
0.94875,9.76
0.95125,9.76
0.95375,9.76
0.95625,9.85
0.95875,10.14
0.96125,10.34
0.96375,9.95
0.96625,9.76
0.96875,9.66
0.97125,9.57
0.97375,9.76
0.97625,9.76
0.97875,9.76
0.98125,9.76
0.98375,9.66
0.98625,9.85
0.98875,9.76
0.99125,9.95
0.99375,9.76
0.99625,9.95
0.99875,9.85
1.00125,10.05
1.00375,9.85
1.00625,9.95
1.00875,9.85
1.01125,9.76
1.01375,9.85
1.01625,9.85
1.01875,9.95
1.02125,9.85
1.02375,9.95
1.02625,9.95
1.02875,10.05
1.03125,10.05
1.03375,9.95
1.03625,9.85
1.03875,9.76
1.04125,10.05
1.04375,9.95
1.04625,10.05
1.04875,10.05
1.05125,10.24
1.05375,10.14
1.05625,10.14
1.05875,10.14
1.06125,10.14
1.06375,9.95
1.06625,9.95
1.06875,10.14
1.07125,10.14
1.07375,10.24
1.07625,10.14
1.07875,10.05
1.08125,10.24
1.08375,10.05
1.08625,10.05
1.08875,10.05
1.09125,10.34
1.09375,10.05
1.09625,10.62
1.09875,10.05
1.10125,10.53
1.10375,10.24
1.10625,10.53
1.10875,10.14
1.11125,10.43
1.11375,10.72
1.11625,10.34
1.11875,10.53
1.12125,10.72
1.12375,10.05
1.12625,9.76
1.12875,10.24
1.13125,10.14
1.13375,10.34
1.13625,10.24
1.13875,10.05
1.14125,10.24
1.14375,10.43
1.14625,10.34
1.14875,10.34
1.15125,9.95
1.15375,10.05
1.15625,9.85
1.15875,10.14
1.16125,10.24
1.16375,10.43
1.16625,10.62
1.16875,10.43
1.17125,10.62
1.17375,10.82
1.17625,9.85
1.17875,10.05
1.18125,10.24
1.18375,10.24
1.18625,10.24
1.18875,10.24
1.19125,10.24
1.19375,10.14
1.19625,10.34
1.19875,10.91
1.20125,10.91
1.20375,11.3
1.20625,11.2
1.20875,11.39
1.21125,10.72
1.21375,10.43
1.21625,10.14
1.21875,10.14
1.22125,10.43
1.22375,10.53
1.22625,10.34
1.22875,10.82
1.23125,10.62
1.23375,10.43
1.23625,10.62
1.23875,10.53
1.24125,10.53
1.24375,10.53
1.24625,10.53
1.24875,10.43
1.25125,10.53
1.25375,10.34
1.25625,10.24
1.25875,10.14
1.26125,10.05
1.26375,10.24
1.26625,10.34
1.26875,10.24
1.27125,10.24
1.27375,10.14
1.27625,10.53
1.27875,10.43
1.28125,10.24
1.28375,10.43
1.28625,10.43
1.28875,10.34
1.29125,10.62
1.29375,11.01
1.29625,10.14
1.29875,10.34
1.30125,10.24
1.30375,10.24
1.30625,10.34
1.30875,10.34
1.31125,10.14
1.31375,10.43
1.31625,10.43
1.31875,10.72
1.32125,10.14
1.32375,10.43
1.32625,10.14
1.32875,10.24
1.33125,10.24
1.33375,10.05
1.33625,10.14
1.33875,10.14
1.34125,10.24
1.34375,10.24
1.34625,10.24
1.34875,10.24
1.35125,10.14
1.35375,10.14
1.35625,10.14
1.35875,10.14
1.36125,10.53
1.36375,10.24
1.36625,9.95
1.36875,9.66
1.37125,10.05
1.37375,10.34
1.37625,10.53
1.37875,10.82
1.38125,10.24
1.38375,9.85
1.38625,9.95
1.38875,9.95
1.39125,10.34
1.39375,10.34
1.39625,10.14
1.39875,10.14
1.40125,10.24
1.40375,10.14
1.40625,10.24
1.40875,10.14
1.41125,10.34
1.41375,10.14
1.41625,10.53
1.41875,10.43
1.42125,10.34
1.42375,10.34
1.42625,10.14
1.42875,10.05
1.43125,9.95
1.43375,10.05
1.43625,10.14
1.43875,10.24
1.44125,11.2
1.44375,10.72
1.44625,11.01
1.44875,10.72
1.45125,10.24
1.45375,10.05
1.45625,10.05
1.45875,9.95
1.46125,10.24
1.46375,10.53
1.46625,11.01
1.46875,11.39
1.47125,11.11
1.47375,9.76
1.47625,9.95
1.47875,10.14
