0,201269,3019942,1390.721,0,861.46,41.58,-1.0137,-0.0293,0.0059,5,0,12.0988
0,201270,3019957,1391.2902,0,861.4,41.57,-1.0078,-0.082,-0.041,5,0,9.9947
0,201271,3019972,1391.575,0,861.37,41.57,-1.0195,-0.0352,-0.0352,5,0,12.0988
0,201272,3019987,1390.6267,0,861.47,41.58,-1.002,-0.0176,0.0059,5,0,12.0988
0,201273,3020002,1390.721,0,861.46,41.57,-1.0312,-0.0234,-0.0176,5,0,9.9947
0,201274,3020017,1390.816,0,861.45,41.58,-1.0312,-0.0703,-0.0293,5,0,9.9947
0,201275,3020032,1391.575,0,861.37,41.58,-1.043,0.0176,0.0059,5,0,6.8385
0,201276,3020047,1391.3851,0,861.39,41.57,-1.0312,-0.0762,0,5,0,9.9947
0,201277,3020062,1391.1008,0,861.42,41.57,-1.0488,0.0176,0,5,0,9.9947
0,201278,3020077,1391.575,0,861.37,41.57,-1.002,-0.0762,0.0117,5,0,9.9947
0,201279,3020092,1391.2902,0,861.4,41.58,-0.9902,-0.0469,-0.0234,5,0,9.9947
0,201280,3020107,1391.1958,0,861.41,41.58,-0.9844,0.0176,-0.0234,5,0,9.9947
0,201281,3020122,1390.6267,0,861.47,41.58,-1.043,-0.0645,0.0176,5,0,6.8385
0,201282,3020137,1391.0059,0,861.43,41.57,-1.0195,-0.0762,-0.0234,5,0,9.9947
0,201283,3020152,1391.0059,0,861.43,41.57,-1.002,-0.0117,-0.0293,5,0,12.0988
0,201284,3020167,1390.721,0,861.46,41.57,-0.9961,-0.0586,-0.0234,5,0,9.9947
0,201285,3020182,1391.2902,0,861.4,41.57,-1.0254,-0.0586,-0.0059,5,0,9.9947
0,201286,3020197,1390.9109,0,861.44,41.58,-1.0078,-0.0586,-0.0234,5,0,9.9947
0,201287,3020212,1391.1008,0,861.42,41.58,-0.9902,-0.0234,-0.041,5,0,12.0988
0,201288,3020227,1391.67,0,861.36,41.57,-1.0195,-0.0586,-0.0293,5,0,9.9947
0,201289,3020242,1390.9109,0,861.44,41.57,-1.002,-0.041,-0.0293,5,0,12.0988
0,201291,3020272,1391.3851,0,861.39,41.56,-0.9961,-0.0293,-0.0527,5,0,9.9947
0,201292,3020287,1391.2902,0,861.4,41.56,-1.0195,-0.0469,-0.0117,5,0,9.9947
0,201293,3020302,1391.2902,0,861.4,41.56,-1.0078,-0.0469,-0.0117,5,0,9.9947
0,201294,3020317,1391.1008,0,861.42,41.57,-0.9844,-0.0176,-0.041,5,0,12.0988
0,201295,3020332,1390.9109,0,861.44,41.57,-0.9844,-0.0645,-0.0059,5,0,9.9947
0,201296,3020347,1390.9109,0,861.44,41.57,-1.002,-0.0469,-0.0176,5,0,12.0988
0,201297,3020362,1391.3851,0,861.39,41.56,-1.002,-0.0586,-0.0352,5,0,12.0988
0,201298,3020377,1390.721,0,861.46,41.57,-0.9844,-0.0176,-0.0176,5,0,9.9947
0,201299,3020392,1390.721,0,861.46,41.57,-1.0195,-0.0234,-0.0527,5,0,9.9947
0,201300,3020407,1390.9109,0,861.44,41.57,-1.0195,-0.0469,-0.0293,5,0,12.0988
0,201301,3020422,1391.0059,0,861.43,41.57,-1.0195,-0.0352,-0.041,5,0,9.9947
0,201302,3020437,1391.0059,0,861.43,41.57,-0.9902,-0.0293,-0.0059,5,0,12.0988
0,201303,3020452,1390.9109,0,861.44,41.57,-1.0137,-0.0293,-0.0117,5,0,9.9947
0,201304,3020467,1391.67,0,861.36,41.56,-1.0195,-0.0586,-0.0234,5,0,9.9947
0,201305,3020482,1391.67,0,861.36,41.57,-1.0078,-0.0527,-0.0352,5,0,12.0988
0,201306,3020497,1390.5317,0,861.48,41.57,-0.9961,-0.082,-0.0059,5,0,9.9947
0,201307,3020512,1391.1008,0,861.42,41.58,-0.9902,-0.0234,0.0117,5,0,12.0988
0,201308,3020527,1391.2902,0,861.4,41.57,-1.0078,-0.041,-0.0059,5,0,9.9947
0,201309,3020542,1391.1008,0,861.42,41.56,-1.0254,-0.0176,-0.0234,5,0,9.9947
0,201310,3020557,1391.1958,0,861.41,41.57,-1.002,-0.0527,-0.041,5,0,9.9947
0,201311,3020572,1391.1958,0,861.41,41.57,-1.0195,-0.0176,-0.0586,5,0,9.9947
0,201312,3020587,1391.2902,0,861.4,41.57,-1.0664,-0.0586,-0.0117,5,0,9.9947
0,201313,3020602,1390.816,0,861.45,41.57,-1.0078,-0.0469,0,5,0,9.9947
0,201314,3020617,1391.2902,0,861.4,41.57,-1.0137,-0.0469,-0.0117,5,0,12.0988
0,201315,3020632,1391.7649,0,861.35,41.57,-1.0195,0.0117,-0.0352,5,0,12.0988
0,201316,3020647,1391.575,0,861.37,41.57,-1.0195,-0.0234,-0.0527,5,0,12.0988
0,201317,3020662,1390.4368,0,861.49,41.57,-1.0254,-0.0586,-0.0293,5,0,9.9947
0,201318,3020677,1391.2902,0,861.4,41.57,-0.9961,-0.0527,-0.0469,5,0,12.0988
0,201319,3020692,1391.1008,0,861.42,41.57,-1.0137,-0.0234,-0.0293,5,0,9.9947
0,201320,3020707,1391.1008,0,861.42,41.57,-0.9727,-0.0117,-0.0117,5,0,9.9947
0,201321,3020722,1391.0059,0,861.43,41.56,-1.0371,-0.0469,-0.0352,5,0,12.0988
0,201322,3020737,1391.0059,0,861.43,41.57,-1.002,-0.0527,-0.0059,5,0,9.9947
0,201323,3020752,1391.1008,0,861.42,41.57,-1.0312,-0.0703,-0.0234,5,0,9.9947
