# Simulation 1 (Up to date)
# 1083 data points written for 5 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (23.4 m/s)
#
# Temps (s),Altitude (m),Accélération verticale (m/s²),Calibres marge de stabilité (​),Mach number (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
2.2013,85.427,35.546,1.8841,0.22695
2.2513,89.464,35.477,1.882,0.23203
2.3013,93.589,35.408,1.8942,0.23711
2.3513,97.804,35.335,1.8823,0.24215
2.4012,102.11,35.266,1.901,0.24722
2.4512,106.5,35.193,1.9002,0.25225
2.5012,110.98,35.123,1.9171,0.2573
2.5512,115.54,35.05,1.9198,0.26231
2.6012,120.2,34.978,1.9278,0.26732
2.6512,124.94,34.909,1.952,0.27233
2.7012,129.77,34.836,1.9598,0.27731
2.7512,134.69,34.766,1.9817,0.2823
2.8012,139.69,34.696,2.0048,0.28727
2.8512,144.78,34.627,2.0392,0.29225
2.9012,149.96,34.557,2.0695,0.29721
2.9512,155.22,34.485,2.0983,0.30215
3.0012,160.57,34.382,2.1432,0.30711
3.0512,166.01,34.245,2.1189,0.31205
3.1012,171.53,34.104,2.1098,0.31695
3.1512,177.14,33.961,2.1017,0.32183
3.2012,182.83,33.815,2.1027,0.32668
3.2512,188.61,33.668,2.1016,0.33152
3.3012,194.47,33.518,2.1127,0.33632
3.3512,200.42,33.368,2.1086,0.34113
3.4012,206.45,33.216,2.1065,0.34593
3.4512,212.56,33.061,2.119,0.35069
3.5012,218.76,32.904,2.1258,0.35544
3.5512,225.03,32.745,2.1426,0.36016
3.6012,231.39,32.582,2.1749,0.36484
3.6512,237.84,32.418,2.1986,0.36952
3.7012,244.36,32.251,2.2282,0.37417
3.7512,250.96,32.082,2.2586,0.3788
3.8012,257.65,31.909,2.2388,0.38339
3.8512,264.41,31.738,2.2311,0.38798
3.9012,271.25,31.564,2.2152,0.39253
3.9512,278.18,31.396,2.2256,0.39709
4.0012,285.18,31.173,2.2391,0.40164
4.0512,292.26,30.891,2.234,0.40611
4.1012,299.42,30.617,2.2595,0.41059
4.1512,306.65,30.338,2.2675,0.41499
4.2012,313.96,30.064,2.2918,0.41938
4.2512,321.35,29.785,2.2991,0.4237
4.3012,328.81,29.509,2.318,0.42799
4.3512,336.34,29.234,2.339,0.43225
4.4012,343.95,28.963,2.3443,0.4365
4.4512,351.63,28.686,2.3372,0.44069
4.5012,359.38,28.407,2.3334,0.44483
4.5512,367.21,28.127,2.3294,0.44895
4.6012,375.1,27.845,2.3309,0.45302
4.6512,383.07,27.561,2.3305,0.45707
4.7012,391.1,27.273,2.3452,0.46106
4.7512,399.2,26.98,2.3694,0.46499
4.8012,407.37,26.683,2.4031,0.46888
4.8512,415.61,26.388,2.4242,0.47276
4.9012,423.92,26.09,2.4254,0.47658
4.9512,432.28,25.793,2.4182,0.48037
5.0012,440.72,25.475,2.4206,0.48413
5.0512,449.22,25.131,2.4158,0.48783
5.1012,457.78,24.787,2.4145,0.49148
5.1512,466.4,24.446,2.417,0.49507
5.2012,475.09,24.116,2.4388,0.49866
5.2512,483.83,23.784,2.4545,0.50217
5.3012,492.64,23.451,2.467,0.50562
5.3512,501.5,23.123,2.4898,0.50904
5.4012,510.43,22.795,2.5078,0.51241
5.4512,519.41,22.467,2.4973,0.51574
5.5012,528.44,22.139,2.4873,0.51903
5.5512,537.54,21.806,2.4837,0.52227
5.6012,546.68,21.473,2.4809,0.52548
5.6512,555.89,21.137,2.4848,0.52863
5.7012,565.14,20.795,2.5016,0.53173
5.7512,574.45,20.448,2.5265,0.53477
5.8012,583.81,20.1,2.5539,0.53777
5.8512,593.21,19.75,2.5689,0.54072
5.9012,602.67,19.401,2.5606,0.54364
5.9512,612.18,19.055,2.5557,0.54651
6.0012,621.74,18.673,2.5501,0.54931
6.0512,631.34,18.27,2.5625,0.5521
6.1012,640.99,17.861,2.5656,0.5548
6.1512,650.68,17.463,2.5835,0.55746
6.2012,660.42,17.068,2.6023,0.56005
6.2512,670.2,16.677,2.6276,0.5626
6.3012,680.03,16.283,2.625,0.56508
6.3512,689.89,15.883,2.6307,0.56747
6.4012,699.8,15.488,2.6276,0.56983
6.4512,709.74,15.091,2.6285,0.57213
6.5012,719.73,14.689,2.6392,0.57436
6.5512,729.74,14.29,2.6463,0.57656
6.6012,739.8,13.89,2.656,0.57869
6.6512,749.89,13.489,2.6675,0.58077
6.7012,760.02,13.088,2.6791,0.5828
6.7512,770.18,12.688,2.6911,0.58478
6.8012,780.37,12.287,2.6881,0.58669
6.8512,790.59,11.894,2.6959,0.58857
6.9012,800.84,11.494,2.6917,0.59036
6.9512,811.12,11.099,2.6916,0.59209
7.0012,821.43,10.715,2.6991,0.59378
7.0512,831.77,10.339,2.7099,0.59541
7.1012,842.13,9.9665,2.7276,0.59701
7.1512,852.52,9.5963,2.7262,0.59856
7.2012,862.93,9.2257,2.7184,0.60006
7.2512,873.37,8.8467,2.726,0.60146
7.3012,883.83,8.4682,2.7338,0.60282
7.3512,894.31,8.0917,2.7393,0.60415
7.4012,904.81,7.7114,2.7522,0.6054
7.4512,915.33,7.3303,2.7628,0.6066
7.5012,925.87,6.9511,2.7581,0.60775
7.5512,936.43,6.5767,2.7585,0.60885
7.6012,947,6.2077,2.7644,0.60991
7.6512,957.59,5.8367,2.7645,0.61088
7.7012,968.2,5.475,2.7757,0.61184
7.7512,978.82,5.1159,2.7883,0.61274
7.8012,989.45,4.7553,2.7968,0.61357
7.8512,1000.1,4.3988,2.7942,0.61436
7.9012,1010.8,4.041,2.7928,0.6151
7.9512,1021.4,3.6837,2.7919,0.61579
8.0012,1032.1,3.3705,2.7915,0.61644
8.0512,1042.8,3.0877,2.8047,0.61702
8.1012,1053.5,2.8046,2.8171,0.61756
8.1512,1064.2,2.519,2.8179,0.61804
8.2012,1074.9,2.2379,2.813,0.6185
8.2512,1085.6,1.9589,2.8089,0.61892
8.3012,1096.3,1.6911,2.8179,0.61932
8.3512,1107,1.428,2.8315,0.6197
8.4012,1117.8,1.1654,2.8408,0.62002
8.4512,1128.5,0.89354,2.842,0.62026
8.5012,1139.2,0.63428,2.8411,0.62052
8.5512,1150,0.37187,2.8382,0.62072
8.6012,1160.7,0.10583,2.8417,0.62087
8.6512,1171.4,-0.16257,2.8497,0.62098
8.7012,1182.2,-0.42796,2.8542,0.62107
8.7512,1192.9,-0.69625,2.8641,0.6211
8.8012,1203.7,-0.95855,2.8665,0.62112
8.8512,1214.4,-1.2247,2.8659,0.62108
8.9012,1225.1,-1.4901,2.8623,0.621
8.9512,1235.8,-1.7483,2.8672,0.6209
9.0012,1246.6,-1.9963,2.8653,0.62073
9.0512,1257.3,-2.2293,2.8656,0.62053
9.1012,1268,-2.4565,2.8723,0.62031
9.1512,1278.7,-2.6759,2.8846,0.62008
9.2012,1289.4,-2.899,2.8784,0.6198
9.2512,1300.1,-3.1242,2.876,0.61948
9.3012,1310.8,-3.3534,2.8803,0.61911
9.3512,1321.5,-3.5771,2.877,0.61875
9.4013,1332.1,-3.8063,2.8826,0.61833
9.4513,1342.8,-4.039,2.8942,0.61786
9.5013,1353.4,-4.2717,2.895,0.61737
9.5513,1364.1,-4.4998,2.892,0.61685
9.6013,1374.7,-4.7297,2.885,0.61628
9.6513,1385.3,-4.9539,2.8842,0.61568
9.7013,1395.9,-5.1694,2.8934,0.61508
9.7513,1406.5,-5.3831,2.904,0.61444
9.8013,1417.1,-5.5922,2.9038,0.61378
9.8513,1427.7,-5.8127,2.9088,0.61304
9.9013,1438.2,-6.0295,2.9087,0.61228
9.9513,1448.8,-6.2498,2.9152,0.61148
10.001,1459.3,-6.4348,2.9033,0.61071
10.051,1469.8,-6.6088,2.9067,0.60986
10.101,1480.3,-6.7785,2.903,0.60902
10.151,1490.8,-6.9556,2.9115,0.60813
10.201,1501.2,-7.1307,2.9173,0.60722
10.251,1511.7,-7.3097,2.9207,0.60627
10.301,1522.1,-7.4869,2.9131,0.6053
10.351,1532.5,-7.6624,2.9071,0.60431
10.401,1542.9,-7.8335,2.906,0.60329
10.451,1553.2,-7.9979,2.913,0.60226
10.501,1563.6,-8.1655,2.9143,0.60118
10.551,1573.9,-8.3233,2.9294,0.60012
10.601,1584.2,-8.4836,2.922,0.59902
10.651,1594.5,-8.6454,2.9152,0.59789
10.701,1604.7,-8.811,2.9147,0.59672
10.751,1615,-8.9734,2.909,0.59556
10.801,1625.2,-9.1452,2.9191,0.59433
10.851,1635.4,-9.3128,2.9226,0.5931
10.901,1645.6,-9.4859,2.9354,0.59183
10.951,1655.7,-9.6543,2.9335,0.59056
11.001,1665.8,-9.8019,2.9211,0.58923
11.051,1675.9,-9.9194,2.9179,0.5879
11.101,1686,-10.03,2.9233,0.58658
11.151,1696.1,-10.145,2.9226,0.5852
11.201,1706.1,-10.262,2.9176,0.58379
11.251,1716.1,-10.376,2.9154,0.58236
11.301,1726.1,-10.476,2.934,0.58097
11.351,1736,-10.577,2.9252,0.57957
11.401,1745.9,-10.685,2.9184,0.57811
11.451,1755.8,-10.792,2.9079,0.57667
11.501,1765.7,-10.904,2.9067,0.57519
11.551,1775.5,-11.018,2.9102,0.57369
11.601,1785.4,-11.136,2.9186,0.57217
11.651,1795.1,-11.26,2.9378,0.57061
11.701,1804.9,-11.389,2.918,0.56901
11.751,1814.6,-11.505,2.9119,0.56745
11.801,1824.3,-11.617,2.9127,0.56588
11.851,1834,-11.725,2.9168,0.56429
11.901,1843.6,-11.837,2.9157,0.56265
11.951,1853.3,-11.939,2.9295,0.56103
12.001,1862.8,-12.036,2.9404,0.55939
12.051,1872.4,-12.121,2.9182,0.55778
12.101,1881.9,-12.212,2.9065,0.55612
12.151,1891.4,-12.311,2.9067,0.55442
12.201,1900.9,-12.416,2.918,0.55268
12.251,1910.3,-12.517,2.9225,0.55096
12.301,1919.7,-12.621,2.9324,0.54921
12.351,1929.1,-12.726,2.9367,0.54745
12.401,1938.4,-12.824,2.9368,0.54571
12.451,1947.7,-12.926,2.93,0.54393
12.501,1957,-13.027,2.9248,0.54214
12.551,1966.3,-13.131,2.9156,0.54031
12.601,1975.5,-13.232,2.9087,0.53846
12.651,1984.6,-13.329,2.9111,0.53662
12.701,1993.8,-14.515,2.915,0.53475
12.751,2002.9,-15.92,2.9311,0.53275
12.801,2012,-15.893,2.9298,0.53047
12.851,2021,-15.825,2.9286,0.52824
12.901,2030,-15.759,2.9165,0.52602
12.951,2038.9,-15.699,2.9149,0.52378
13.001,2047.9,-15.636,2.9054,0.52158
13.051,2056.7,-15.58,2.9089,0.51935
13.101,2065.6,-15.522,2.9078,0.51716
13.151,2074.4,-15.475,2.9264,0.51491
13.201,2083.1,-15.419,2.9255,0.51274
13.251,2091.8,-15.368,2.9202,0.51054
13.301,2100.5,-15.316,2.9127,0.50836
13.351,2109.2,-15.263,2.908,0.50619
13.401,2117.8,-15.213,2.8985,0.504
13.451,2126.3,-15.157,2.901,0.50185
13.501,2134.9,-15.107,2.8937,0.49967
13.551,2143.4,-15.048,2.9037,0.49754
13.601,2151.8,-14.993,2.906,0.49539
13.651,2160.2,-14.934,2.9193,0.49328
13.701,2168.6,-14.881,2.9169,0.49113
13.751,2176.9,-14.825,2.9044,0.48903
13.801,2185.2,-14.772,2.8982,0.48691
13.851,2193.5,-14.723,2.9013,0.48478
13.901,2201.7,-14.669,2.889,0.48271
13.951,2209.9,-14.617,2.8823,0.48063
14.001,2218.1,-14.565,2.8708,0.4786
14.051,2226.2,-14.521,2.8801,0.47651
14.101,2234.3,-14.481,2.8959,0.47441
14.151,2242.4,-14.439,2.9057,0.47235
14.201,2250.4,-14.395,2.9106,0.47031
14.251,2258.3,-14.35,2.9084,0.46829
14.301,2266.3,-14.307,2.902,0.46626
14.351,2274.2,-14.269,2.8875,0.46421
14.401,2282.1,-14.228,2.8781,0.46217
14.451,2289.9,-14.187,2.8699,0.46013
14.501,2297.7,-14.141,2.8728,0.45813
14.551,2305.4,-14.101,2.8637,0.45608
14.601,2313.2,-14.055,2.8677,0.45406
14.651,2320.9,-14.007,2.8776,0.45207
14.701,2328.5,-13.961,2.8841,0.45006
14.751,2336.1,-13.913,2.8952,0.44806
14.801,2343.7,-13.867,2.9007,0.44606
14.851,2351.3,-13.823,2.8935,0.44406
14.901,2358.8,-13.773,2.8709,0.44212
14.951,2366.3,-13.729,2.8607,0.44015
15.001,2373.7,-13.686,2.8512,0.4382
15.051,2381.2,-13.643,2.8418,0.43626
15.101,2388.5,-13.606,2.848,0.43429
15.151,2395.9,-13.57,2.8556,0.43234
15.201,2403.2,-13.533,2.8597,0.43041
15.251,2410.5,-13.499,2.8698,0.42847
15.301,2417.7,-13.464,2.8759,0.42656
15.351,2424.9,-13.433,2.8927,0.42463
15.401,2432.1,-13.4,2.8864,0.42272
15.451,2439.3,-13.37,2.8687,0.42079
15.501,2446.4,-13.335,2.8666,0.41891
15.551,2453.4,-13.306,2.8492,0.41698
15.601,2460.5,-13.275,2.8366,0.41506
15.651,2467.5,-13.234,2.8479,0.4132
15.701,2474.5,-13.201,2.8415,0.41129
15.751,2481.4,-13.161,2.8525,0.40943
15.801,2488.3,-13.124,2.8559,0.40753
15.851,2495.2,-13.088,2.8585,0.40563
15.901,2502.1,-13.05,2.8657,0.40375
15.951,2508.9,-13.013,2.872,0.40186
16.001,2515.7,-12.972,2.8833,0.40002
16.051,2522.4,-12.933,2.8639,0.39818
16.101,2529.1,-12.897,2.8554,0.39631
16.151,2535.8,-12.858,2.8358,0.39449
16.201,2542.5,-12.824,2.8289,0.39265
16.251,2549.1,-12.79,2.8229,0.39082
16.301,2555.7,-12.762,2.8339,0.38894
16.351,2562.2,-12.736,2.8501,0.38706
16.401,2568.8,-12.707,2.8546,0.38524
16.451,2575.2,-12.681,2.8673,0.38339
16.501,2581.7,-12.651,2.8691,0.38159
16.551,2588.1,-12.625,2.8808,0.37976
16.601,2594.5,-12.594,2.8785,0.37798
16.651,2600.9,-12.566,2.8777,0.37618
16.701,2607.2,-12.539,2.8712,0.37438
16.751,2613.5,-12.506,2.877,0.37264
16.801,2619.8,-12.48,2.8734,0.37084
16.851,2626.1,-12.449,2.8751,0.3691
16.901,2632.3,-12.423,2.8727,0.36731
16.951,2638.4,-12.4,2.8563,0.36549
17.001,2644.6,-12.373,2.8533,0.36372
17.051,2650.7,-12.349,2.8409,0.36191
17.101,2656.8,-12.325,2.8312,0.36011
17.151,2662.9,-12.299,2.8274,0.35833
17.201,2668.9,-12.266,2.8413,0.3566
17.251,2674.9,-12.239,2.8422,0.35483
17.301,2680.8,-12.209,2.8508,0.35308
17.351,2686.8,-12.179,2.8602,0.35133
17.401,2692.7,-12.15,2.8671,0.34958
17.451,2698.5,-12.126,2.8615,0.34779
17.501,2704.4,-12.099,2.8654,0.34603
17.551,2710.2,-12.07,2.8677,0.34429
17.601,2716,-12.048,2.8631,0.34248
17.651,2721.7,-12.019,2.8659,0.34076
17.701,2727.5,-11.993,2.8631,0.339
17.751,2733.2,-11.968,2.8596,0.33726
17.801,2738.8,-11.942,2.8534,0.33552
17.851,2744.4,-11.918,2.8558,0.33377
17.901,2750,-11.891,2.8445,0.33206
17.951,2755.6,-11.864,2.8319,0.33037
18.001,2761.2,-11.842,2.8354,0.32863
18.051,2766.7,-11.82,2.8409,0.32689
18.101,2772.2,-11.8,2.853,0.32514
18.151,2777.6,-11.775,2.845,0.32345
18.201,2783,-11.752,2.8452,0.32175
18.251,2788.4,-11.729,2.8421,0.32006
18.301,2793.8,-11.707,2.8438,0.31836
18.351,2799.1,-11.686,2.8456,0.31666
18.401,2804.4,-11.663,2.8419,0.31499
18.451,2809.7,-11.641,2.8417,0.31331
18.501,2815,-11.622,2.85,0.31161
18.551,2820.2,-11.605,2.8559,0.30989
18.601,2825.4,-11.589,2.8373,0.30816
18.651,2830.5,-11.567,2.8385,0.3065
18.701,2835.7,-11.547,2.8364,0.30483
18.751,2840.8,-11.525,2.8417,0.30318
18.801,2845.9,-11.503,2.8462,0.30152
18.851,2850.9,-11.481,2.8512,0.29988
18.901,2855.9,-11.458,2.8566,0.29825
18.951,2860.9,-11.439,2.8566,0.29657
19.001,2865.9,-11.415,2.8419,0.29497
19.051,2870.8,-11.395,2.8402,0.29332
19.101,2875.7,-11.378,2.8501,0.29164
19.151,2880.6,-11.358,2.8467,0.29
19.201,2885.4,-11.339,2.847,0.28836
19.251,2890.2,-11.323,2.8533,0.28667
19.301,2895,-11.305,2.851,0.28503
19.351,2899.8,-11.284,2.8554,0.28341
19.401,2904.5,-11.264,2.8487,0.2818
19.451,2909.2,-11.25,2.8444,0.28011
19.501,2913.9,-11.231,2.8467,0.27849
19.551,2918.6,-11.217,2.8305,0.27681
19.601,2923.2,-11.195,2.8464,0.27523
19.651,2927.8,-11.179,2.8417,0.27359
19.701,2932.3,-11.159,2.8507,0.27199
19.751,2936.9,-11.142,2.8484,0.27036
19.801,2941.4,-11.124,2.8498,0.26874
19.851,2945.9,-11.108,2.845,0.26711
19.901,2950.3,-11.089,2.8489,0.26552
19.951,2954.8,-11.074,2.8471,0.26388
20.001,2959.2,-11.053,2.8404,0.26231
20.051,2963.5,-11.035,2.8292,0.26073
20.101,2967.9,-11.018,2.8269,0.25913
20.151,2972.2,-11.003,2.8355,0.2575
20.201,2976.5,-10.987,2.8321,0.25591
20.251,2980.7,-10.972,2.838,0.25429
20.301,2985,-10.963,2.8311,0.25259
20.351,2989.2,-10.948,2.8251,0.25098
20.401,2993.4,-10.929,2.8398,0.24943
20.451,2997.5,-10.915,2.834,0.24782
20.501,3001.6,-10.897,2.8474,0.24628
20.551,3005.7,-10.882,2.8484,0.24468
20.601,3009.8,-10.866,2.8419,0.24311
20.651,3013.8,-10.85,2.8393,0.24153
20.701,3017.9,-10.832,2.8213,0.24
20.751,3021.8,-10.82,2.8328,0.23838
20.801,3025.8,-10.808,2.8461,0.23675
20.851,3029.7,-10.794,2.8431,0.23516
20.901,3033.6,-10.777,2.8296,0.23365
20.951,3037.5,-10.764,2.8346,0.23206
21.001,3041.4,-10.751,2.8404,0.23047
21.051,3045.2,-10.736,2.8332,0.22892
21.101,3049,-10.723,2.8406,0.22733
21.151,3052.8,-10.71,2.8427,0.22576
21.201,3056.5,-10.696,2.8391,0.2242
21.251,3060.2,-10.681,2.8282,0.22267
21.301,3063.9,-10.671,2.8437,0.22106
21.351,3067.6,-10.657,2.8385,0.21952
21.401,3071.2,-10.645,2.8413,0.21794
21.451,3074.9,-10.636,2.8216,0.21632
21.501,3078.4,-10.625,2.8103,0.21473
21.551,3082,-10.609,2.826,0.21322
21.601,3085.5,-10.595,2.837,0.2117
21.651,3089,-10.581,2.8381,0.21018
21.701,3092.5,-10.568,2.8344,0.20864
21.751,3096,-10.558,2.8393,0.20705
21.801,3099.4,-10.548,2.8265,0.20547
21.851,3102.8,-10.532,2.8338,0.20398
21.901,3106.2,-10.519,2.8202,0.20248
21.951,3109.5,-10.504,2.8002,0.20099
22.001,3112.8,-10.495,2.8149,0.1994
22.051,3116.1,-10.48,2.7921,0.19793
22.101,3119.4,-10.471,2.8026,0.19636
22.151,3122.7,-10.454,2.7661,0.19494
22.201,3125.9,-10.444,2.7717,0.19339
22.251,3129.1,-10.436,2.7876,0.19182
22.301,3132.2,-10.423,2.7754,0.19033
22.351,3135.4,-10.414,2.7876,0.18877
22.401,3138.5,-10.4,2.758,0.18735
22.451,3141.6,-10.39,2.7674,0.18581
22.501,3144.6,-10.382,2.7791,0.18426
22.551,3147.7,-10.372,2.7827,0.18275
22.601,3150.7,-10.36,2.7665,0.18129
22.651,3153.7,-10.352,2.7793,0.17975
22.701,3156.6,-10.343,2.7932,0.17822
22.751,3159.5,-10.335,2.8074,0.17668
22.801,3162.4,-10.323,2.7883,0.17524
22.851,3165.3,-10.319,2.8333,0.17362
22.901,3168.2,-10.311,2.8343,0.17211
22.951,3171,-10.303,2.8194,0.17058
23.001,3173.8,-10.291,2.8335,0.16915
23.051,3176.6,-10.282,2.8317,0.16766
23.101,3179.3,-10.272,2.8271,0.16619
23.151,3182.1,-10.263,2.8302,0.16469
23.201,3184.8,-10.253,2.818,0.16324
23.251,3187.4,-10.244,2.8159,0.16176
23.301,3190.1,-10.235,2.8133,0.16029
23.351,3192.7,-10.225,2.8006,0.15884
23.401,3195.3,-10.214,2.776,0.15743
23.451,3197.9,-10.204,2.7664,0.15599
23.501,3200.4,-10.195,2.764,0.15452
23.551,3202.9,-10.191,2.7964,0.15294
23.601,3205.4,-10.18,2.7688,0.15155
23.651,3207.9,-10.175,2.8,0.14998
23.701,3210.4,-10.168,2.804,0.1485
23.751,3212.8,-10.161,2.8144,0.147
23.801,3215.2,-10.155,2.833,0.14547
23.851,3217.5,-10.15,2.8121,0.14394
23.901,3219.9,-10.142,2.8107,0.14247
23.951,3222.2,-10.131,2.823,0.14109
24.001,3224.5,-10.123,2.8205,0.13963
24.051,3226.8,-10.115,2.8048,0.13821
24.101,3229,-10.109,2.8275,0.13667
24.151,3231.2,-10.101,2.8176,0.13523
24.201,3233.4,-10.097,2.8211,0.13368
24.251,3235.6,-10.09,2.8155,0.1322
24.301,3237.7,-10.082,2.8313,0.13078
24.351,3239.8,-10.074,2.8208,0.12934
24.401,3241.9,-10.06,2.7423,0.12811
24.451,3244,-10.056,2.7717,0.12655
24.501,3246,-10.05,2.772,0.12508
24.551,3248,-10.042,2.7573,0.12366
24.601,3250,-10.029,2.6885,0.12241
24.651,3252,-10.024,2.7024,0.1209
24.701,3253.9,-10.02,2.7241,0.11937
24.751,3255.8,-10.012,2.7,0.11799
24.801,3257.7,-10.005,2.6855,0.11657
24.851,3259.6,-9.9985,2.6768,0.11514
24.901,3261.4,-9.9957,2.7109,0.11358
24.951,3263.3,-9.9848,2.6491,0.11232
25.001,3265,-9.9797,2.6525,0.11085
25.051,3266.8,-9.9743,2.6526,0.1094
25.101,3268.5,-9.9645,2.6007,0.10812
25.151,3270.3,-9.9602,2.6113,0.10664
25.201,3272,-9.9517,2.5711,0.10533
25.251,3273.6,-9.9471,2.5759,0.10386
25.301,3275.3,-9.939,2.5382,0.10255
25.351,3276.9,-9.9316,2.5091,0.10122
25.401,3278.5,-9.926,2.4972,0.099823
25.451,3280,-9.9198,2.4796,0.098451
25.501,3281.6,-9.9161,2.4872,0.096985
25.551,3283.1,-9.9103,2.4707,0.095613
25.601,3284.6,-9.9023,2.4291,0.094344
25.651,3286,-9.8943,2.3873,0.093084
25.701,3287.5,-9.8918,2.4034,0.091587
25.751,3288.9,-9.888,2.4041,0.090156
25.801,3290.3,-9.8839,2.402,0.088738
25.851,3291.7,-9.878,2.3772,0.087415
25.901,3293,-9.8751,2.386,0.085953
25.951,3294.3,-9.8702,2.3702,0.084595
26.001,3295.6,-9.8652,2.3529,0.083244
26.051,3296.9,-9.8582,2.3126,0.081996
26.101,3298.1,-9.852,2.2807,0.080717
26.151,3299.4,-9.8485,2.2763,0.079314
26.201,3300.5,-9.8497,2.3231,0.077682
26.251,3301.7,-9.846,2.315,0.076293
26.301,3302.9,-9.8422,2.3043,0.074915
26.351,3304,-9.8403,2.3154,0.07344
