# Simulation 1 (Up to date)
# 1083 data points written for 5 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (23.4 m/s)
#
# Temps (s),Altitude (m),Accélération verticale (m/s²),Calibres marge de stabilité (​),Mach number (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,-9.0978,NaN,0.005173
0.01,0,-7.7021,NaN,0.0051572
0.02,0,-6.3063,NaN,0.0051415
0.03,0,-4.9103,NaN,0.0051258
0.04,0,-3.5141,NaN,0.0051101
0.05,0,-2.1178,NaN,0.0050943
0.06,0,-0.72139,NaN,0.0050799
0.07,0,0.67519,NaN,0.0050655
0.08,3.3777e-5,2.0719,NaN,0.0050511
0.09,2.0495e-4,3.4688,NaN,0.0050373
0.1,6.5322e-4,4.8657,NaN,0.0050254
0.11,0.0015183,6.2629,NaN,0.0049726
0.12,0.0029398,7.6602,NaN,0.0049277
0.13,0.0050576,9.0576,NaN,0.0048952
0.14,0.0080113,10.455,NaN,0.0048805
0.15,0.011941,13.779,NaN,0.0048902
0.16,0.017082,19.031,NaN,0.0049909
0.17,0.023864,24.286,NaN,0.0051809
0.18,0.032812,29.543,NaN,0.005495
0.19,0.044453,34.802,NaN,0.0059655
0.2,0.059311,40.063,NaN,0.0066157
0.21,0.077913,43.624,NaN,0.0074866
0.22,0.1007,45.488,NaN,0.0085052
0.23,0.12795,47.355,NaN,0.0096218
0.24,0.15983,48.99,NaN,0.010825
0.25,0.19654,49.229,NaN,0.0121
0.26,0.23816,49.237,NaN,0.013382
0.27,0.2847,49.245,NaN,0.014685
0.28,0.33617,49.252,NaN,0.016004
0.29,0.39256,49.26,NaN,0.017335
0.3,0.45388,49.267,NaN,0.018677
0.31,0.52013,49.275,NaN,0.020032
0.32,0.59131,49.282,NaN,0.021393
0.33,0.66742,49.289,NaN,0.022758
0.34,0.74845,49.297,NaN,0.024128
0.35,0.83442,49.304,NaN,0.025501
0.36,0.92532,49.311,NaN,0.026881
0.37,1.0211,49.318,NaN,0.028263
0.38,1.1219,49.325,NaN,0.029647
0.39,1.2276,49.332,NaN,0.031033
0.4,1.3382,49.339,NaN,0.03242
0.41,1.4538,49.346,NaN,0.033804
0.42,1.5743,49.353,NaN,0.03519
0.43,1.6997,48.933,NaN,0.036577
0.44,1.8301,48.087,NaN,0.037953
0.45,1.9653,47.239,NaN,0.039306
0.46,2.1053,46.391,NaN,0.040644
0.47,2.2499,45.542,NaN,0.041957
0.48,2.3992,44.693,NaN,0.043247
0.49,2.553,43.843,NaN,0.044514
0.5,2.7111,43.262,NaN,0.045756
0.51,2.8737,42.949,NaN,0.046977
0.52,3.0406,42.634,NaN,0.048189
0.53,3.2117,42.32,NaN,0.049393
0.54,3.3871,42.005,NaN,0.050588
0.55,3.5667,41.69,NaN,0.051775
0.56,3.7505,41.375,NaN,0.052954
0.57,3.9384,41.06,NaN,0.054124
0.58,4.1305,40.744,NaN,0.055286
0.59,4.3267,40.429,NaN,0.056439
0.6,4.5269,40.113,NaN,0.057583
0.61,4.7311,39.797,NaN,0.058713
0.62,4.9394,39.605,NaN,0.059835
0.63,5.1516,39.536,1.0972,0.060951
0.645,5.4774,39.411,1.1231,0.062623
0.6675,5.9826,39.222,1.1479,0.065131
0.70125,6.7778,38.937,1.1779,0.068879
0.75125,8.0376,38.516,1.2267,0.074387
0.80125,9.3942,38.3,1.2642,0.079851
0.85125,10.847,38.202,1.2868,0.085292
0.90125,12.395,38.103,1.3492,0.090696
0.95125,14.039,38.002,1.4135,0.096088
1.0013,15.778,37.906,1.4528,0.10148
1.0513,17.612,37.812,1.453,0.10688
1.1013,19.541,37.717,1.4731,0.11225
1.1513,21.565,37.621,1.5298,0.11759
1.2013,23.682,37.522,1.5322,0.12295
1.2513,25.894,37.422,1.5409,0.12829
1.3013,28.199,37.321,1.5765,0.1336
1.3513,30.598,37.219,1.5898,0.13892
1.4013,33.09,37.115,1.6218,0.14421
1.4513,35.675,37.009,1.6455,0.14949
1.5013,38.353,36.905,1.6826,0.15475
1.5513,41.123,36.802,1.7356,0.15999
1.6013,43.985,36.697,1.7659,0.16522
1.6513,46.94,36.589,1.8219,0.17043
1.7013,49.986,36.48,1.8535,0.17564
1.7513,53.123,36.369,1.876,0.18084
1.8013,56.352,36.256,1.9066,0.18602
1.8513,59.671,36.141,1.9413,0.19118
1.9013,63.081,36.023,1.978,0.19633
1.9513,66.581,35.905,1.9869,0.20148
2.0013,70.172,35.816,1.9726,0.2066
2.0513,73.851,35.751,1.9382,0.21169
2.1013,77.621,35.684,1.9156,0.21678
2.1513,81.479,35.614,1.884,0.22186
