# Simulation 2 (Up to date)
# 1021 data points written for 5 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (22.8 m/s)
#
# Temps (s),Altitude (m),Accélération verticale (m/s²),Calibres marge de stabilité (​),Mach number (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,-8.773,NaN,0.0060617
0.01,0,-6.1685,NaN,0.005977
0.02,0,-3.0048,NaN,0.0058923
0.03,0,0.15923,NaN,0.0058077
0.04,7.9773e-6,3.3236,NaN,0.005723
0.05,1.9014e-4,6.4883,NaN,0.0056393
0.06,8.6296e-4,15.061,NaN,0.0056634
0.07,0.0026134,29.046,NaN,0.0057209
0.08,0.0065696,43.039,NaN,0.0059086
0.09,0.014131,57.039,NaN,0.006382
0.1,0.026697,64.892,NaN,0.0073011
0.11,0.045362,66.6,NaN,0.0086773
0.12,0.070603,68.315,NaN,0.010267
0.13,0.10259,70.032,NaN,0.012011
0.14,0.1415,71.749,NaN,0.013873
0.15,0.1875,72.428,NaN,0.01583
0.16,0.24071,71.592,NaN,0.017813
0.17,0.30113,70.743,NaN,0.019803
0.18,0.36866,69.893,NaN,0.021791
0.19,0.44323,69.043,NaN,0.02377
0.2,0.52475,68.192,NaN,0.025737
0.21,0.61313,67.34,NaN,0.027703
0.22,0.70829,66.487,NaN,0.029649
0.23,0.81015,65.633,NaN,0.031576
0.24,0.91861,64.779,NaN,0.033481
0.25,1.0336,64.279,NaN,0.035364
0.26,1.155,64.131,NaN,0.037208
0.27,1.2829,63.982,NaN,0.039053
0.28,1.4172,63.833,NaN,0.040896
0.29,1.5578,63.684,NaN,0.042739
0.3,1.7049,63.534,NaN,0.044581
0.31,1.8583,63.384,NaN,0.04643
0.32,2.018,63.234,NaN,0.048277
0.33,2.1841,63.083,NaN,0.05012
0.34,2.3565,62.932,NaN,0.05196
0.35,2.5352,62.781,NaN,0.053797
0.36,2.7202,62.63,NaN,0.055625
0.37,2.9115,62.479,NaN,0.057451
0.38,3.109,62.327,NaN,0.059272
0.39,3.3128,62.176,NaN,0.061091
0.4,3.5228,62.023,NaN,0.062905
0.41,3.739,61.871,NaN,0.064716
0.42,3.9614,61.719,NaN,0.066522
0.43,4.19,61.566,NaN,0.068325
0.44,4.4247,61.413,NaN,0.070124
0.45,4.6656,61.26,NaN,0.071919
0.46,4.9126,61.106,NaN,0.073714
0.47,5.1658,60.952,1.0861,0.075504
0.485,5.557,60.672,1.109,0.078181
0.5075,6.1694,60.535,1.1435,0.082178
0.54125,7.1455,60.5,1.1978,0.088162
0.59125,8.7184,60.443,1.2684,0.097033
0.64125,10.443,60.42,1.3177,0.10591
0.69125,12.318,60.393,1.3726,0.11479
0.74125,14.345,60.368,1.4451,0.12365
0.79125,16.523,60.348,1.4915,0.13253
0.84125,18.852,60.323,1.5267,0.1414
0.89125,21.332,60.295,1.5728,0.15027
0.94125,23.963,60.263,1.6024,0.15915
0.99125,26.744,60.256,1.6772,0.168
1.0413,29.677,60.296,1.7099,0.17687
1.0913,32.761,60.334,1.7583,0.18574
1.1413,35.995,60.367,1.8066,0.19462
1.1913,39.38,60.397,1.8394,0.20351
1.2413,42.917,60.422,1.8656,0.21241
1.2913,46.605,60.443,1.9122,0.2213
1.3413,50.444,60.459,1.9474,0.23021
1.3913,54.434,60.471,1.9882,0.23912
1.4413,58.575,60.479,2.0018,0.24804
1.4913,62.868,60.44,2.0017,0.25696
1.5413,67.312,60.314,1.9868,0.26587
1.5913,71.907,60.184,2.0054,0.27479
1.6413,76.653,60.047,1.9999,0.28367
1.6913,81.55,59.905,1.9904,0.29252
1.7413,86.596,59.76,1.9866,0.30136
1.7913,91.792,59.61,1.9836,0.31018
1.8413,97.137,59.456,1.9748,0.31897
1.8913,102.63,59.302,1.9885,0.32776
1.9413,108.27,59.145,1.9962,0.33652
1.9913,114.06,58.943,2.0068,0.34525
2.0413,120,58.658,2.0349,0.35397
2.0913,126.09,58.365,2.049,0.36263
2.1413,132.32,58.068,2.0605,0.37123
2.1913,138.7,57.776,2.1007,0.37983
2.2413,145.22,57.482,2.1506,0.38838
2.2913,151.89,57.182,2.1836,0.39688
2.3413,158.7,56.878,2.219,0.40534
2.3913,165.65,56.569,2.2032,0.41375
2.4412,172.74,56.255,2.1903,0.42213
2.4912,179.98,55.869,2.1872,0.43044
2.5412,187.36,55.35,2.191,0.43871
2.5912,194.87,54.822,2.1841,0.44692
2.6412,202.52,54.286,2.2043,0.45502
2.6912,210.31,53.746,2.2289,0.46305
2.7412,218.24,53.2,2.2566,0.47101
2.7912,226.29,52.649,2.2927,0.47889
2.8412,234.48,52.093,2.3215,0.4867
2.8912,242.8,51.533,2.3533,0.49444
2.9412,251.25,50.963,2.3534,0.50207
2.9912,259.83,50.425,2.3356,0.50962
3.0412,268.54,49.956,2.336,0.51711
3.0912,277.37,49.486,2.3396,0.52453
3.1412,286.32,49.017,2.3507,0.53188
3.1912,295.4,48.553,2.3683,0.53916
3.2412,304.6,48.093,2.3974,0.54639
3.2912,313.92,47.636,2.4339,0.55354
3.3412,323.36,47.178,2.4789,0.56064
3.3912,332.92,46.715,2.4711,0.56766
3.4412,342.59,46.248,2.4565,0.57463
3.4912,352.39,45.696,2.4579,0.58151
3.5412,362.29,44.989,2.4709,0.58831
3.5912,372.31,44.272,2.4875,0.59501
3.6412,382.44,43.549,2.513,0.60162
3.6912,392.69,42.822,2.5438,0.60812
3.7412,403.04,42.089,2.5813,0.61451
3.7912,413.49,41.353,2.5884,0.62081
3.8412,424.05,40.619,2.588,0.62701
3.8912,434.71,39.882,2.5838,0.63308
3.9412,445.47,39.151,2.5884,0.63906
3.9912,456.34,38.392,2.596,0.64491
4.0412,467.29,37.586,2.6243,0.65067
4.0912,478.35,36.782,2.6602,0.65632
4.1412,489.49,35.975,2.6926,0.66184
4.1912,500.73,35.166,2.6861,0.66724
4.2412,512.05,34.355,2.6798,0.67253
4.2912,523.47,33.538,2.6856,0.67769
4.3412,534.96,32.72,2.6917,0.68275
4.3912,546.54,31.894,2.7168,0.68767
4.4412,558.2,31.065,2.7464,0.69248
4.4912,569.94,30.244,2.7801,0.69717
4.5412,581.76,29.44,2.7653,0.70174
4.5912,593.65,28.641,2.7625,0.70619
4.6412,605.61,27.85,2.7676,0.71053
4.6912,617.64,27.072,2.7813,0.71475
4.7412,629.74,26.307,2.8068,0.71886
4.7912,641.91,25.542,2.8294,0.72283
4.8412,654.15,24.788,2.8498,0.72672
4.8912,666.44,24.031,2.8391,0.73049
4.9412,678.8,23.268,2.8384,0.73415
4.9912,691.21,22.443,2.8517,0.73768
5.0412,703.69,21.51,2.8689,0.74111
5.0912,716.22,20.572,2.8872,0.74441
5.1412,728.8,19.629,2.9146,0.74757
5.1912,741.43,18.687,2.9128,0.75059
5.2412,754.1,17.752,2.9079,0.75348
5.2912,766.83,16.828,2.9111,0.75623
5.3412,779.59,15.917,2.9233,0.75884
5.3912,792.4,15.02,2.9443,0.76132
5.4412,805.25,14.128,2.9684,0.76366
5.4912,818.13,12.924,2.9649,0.76588
5.5412,831.05,11.113,2.9553,0.76793
5.5912,843.99,9.2796,2.967,0.76968
5.6412,856.97,7.4497,2.9843,0.77116
5.6912,869.96,5.6253,3.005,0.77237
5.7412,882.97,3.8108,3.0087,0.77333
5.7912,895.99,2.0588,3.0082,0.77403
5.8412,909.02,0.41101,3.0088,0.77447
5.8912,922.05,-1.2245,3.0106,0.77465
5.9412,935.08,-2.8462,3.0173,0.77459
5.9912,948.11,-4.4567,3.0262,0.77428
6.0412,961.12,-6.0569,3.0369,0.77373
6.0912,974.13,-7.6497,3.0371,0.77294
6.1412,987.11,-9.2304,3.0254,0.77193
6.1912,1000.1,-10.535,3.0167,0.7707
6.2412,1013,-11.333,3.0271,0.76924
6.2912,1025.9,-12.116,3.0395,0.76767
6.3412,1038.8,-12.896,3.0433,0.76599
6.3912,1051.7,-13.667,3.0389,0.76421
6.4412,1064.5,-14.437,3.0292,0.7623
6.4912,1077.3,-15.197,3.0275,0.76028
6.5412,1090,-15.95,3.0293,0.75814
6.5912,1102.7,-16.694,3.0393,0.75589
6.6412,1115.4,-17.43,3.0344,0.75355
6.6912,1128,-18.171,3.0275,0.75108
6.7412,1140.6,-18.906,3.016,0.74852
6.7912,1153.1,-19.643,3.0148,0.74584
6.8412,1165.6,-21.911,3.0332,0.74301
6.8912,1178.1,-23.363,3.0367,0.73988
6.9412,1190.4,-23.22,3.0173,0.73651
6.9912,1202.8,-23.076,3.0019,0.73316
7.0412,1215,-22.925,2.9985,0.72984
7.0912,1227.2,-22.769,3.0033,0.72654
7.1412,1239.4,-22.613,3.0121,0.72325
7.1912,1251.5,-22.456,3.0175,0.72
7.2412,1263.5,-22.305,3.0027,0.71675
7.2912,1275.5,-22.16,2.9936,0.71353
7.3412,1287.4,-22.02,2.9886,0.71032
7.3912,1299.3,-21.884,2.9872,0.70714
7.4412,1311.1,-21.748,2.9843,0.70401
7.4912,1322.9,-21.62,2.992,0.70087
7.5412,1334.6,-21.497,3.0031,0.69776
7.5912,1346.2,-21.38,2.9812,0.69464
7.6412,1357.8,-21.258,2.9696,0.69156
7.6912,1369.4,-21.133,2.9655,0.6885
7.7412,1380.9,-21.006,2.9648,0.68544
7.7912,1392.3,-20.874,2.9749,0.68241
7.8412,1403.7,-20.744,2.9864,0.6794
7.8912,1415,-20.614,2.9738,0.67641
7.9412,1426.3,-20.49,2.9604,0.67343
7.9912,1437.6,-20.37,2.9519,0.67047
8.0412,1448.7,-20.258,2.9576,0.66751
8.0912,1459.9,-20.149,2.9659,0.66456
8.1412,1471,-20.041,2.9723,0.66165
8.1912,1482,-19.938,2.9633,0.65873
8.2412,1493,-19.831,2.9568,0.65585
8.2912,1503.9,-19.721,2.958,0.653
8.3412,1514.8,-19.615,2.9549,0.65014
8.3912,1525.6,-19.509,2.9543,0.6473
8.4412,1536.4,-19.403,2.9562,0.64447
8.4912,1547.2,-19.298,2.9573,0.64166
8.5412,1557.8,-19.193,2.9582,0.63886
8.5912,1568.5,-19.089,2.9465,0.63609
8.6412,1579.1,-18.989,2.9437,0.63331
8.6912,1589.6,-18.889,2.9368,0.63057
8.7412,1600.1,-18.791,2.9298,0.62784
8.7912,1610.6,-18.699,2.936,0.62511
8.8412,1621,-18.61,2.9445,0.62239
8.8912,1631.3,-18.521,2.9427,0.61969
8.9412,1641.7,-18.433,2.9325,0.617
8.9912,1651.9,-18.344,2.9271,0.61433
9.0412,1662.1,-18.258,2.9176,0.61165
9.0912,1672.3,-18.173,2.9079,0.60897
9.1412,1682.5,-18.084,2.9077,0.60632
9.1912,1692.5,-17.992,2.9149,0.60369
9.2412,1702.6,-17.898,2.9298,0.60107
9.2912,1712.6,-17.806,2.9229,0.59847
9.3412,1722.5,-17.716,2.9076,0.59588
9.3912,1732.4,-17.631,2.8989,0.5933
9.4412,1742.3,-17.548,2.8951,0.59072
9.4913,1752.1,-17.471,2.9028,0.58814
9.5413,1761.9,-17.392,2.9051,0.5856
9.5913,1771.6,-17.313,2.9046,0.58308
9.6413,1781.3,-17.238,2.9109,0.58056
9.6913,1790.9,-17.169,2.9139,0.57803
9.7413,1800.5,-17.1,2.8941,0.57551
9.7913,1810.1,-17.027,2.8868,0.57301
9.8413,1819.6,-16.954,2.8819,0.57053
9.8913,1829.1,-16.88,2.8793,0.56804
9.9413,1838.5,-16.802,2.888,0.56559
9.9913,1847.9,-16.723,2.9006,0.56314
10.041,1857.3,-16.647,2.9088,0.56069
10.091,1866.6,-16.57,2.8954,0.55827
10.141,1875.8,-16.494,2.8781,0.55586
10.191,1885.1,-16.423,2.8728,0.55344
10.241,1894.2,-16.355,2.8728,0.55103
10.291,1903.4,-16.289,2.8747,0.54864
10.341,1912.5,-16.222,2.8745,0.54627
10.391,1921.5,-16.159,2.8831,0.54389
10.441,1930.6,-16.098,2.8967,0.54152
10.491,1939.5,-16.038,2.8918,0.53916
10.541,1948.5,-15.979,2.8782,0.53681
10.591,1957.4,-15.92,2.8663,0.53447
10.641,1966.2,-15.856,2.8667,0.53215
10.691,1975.1,-15.795,2.8634,0.52982
10.741,1983.8,-15.729,2.8722,0.52753
10.791,1992.6,-15.663,2.8834,0.52524
10.841,2001.3,-15.6,2.8879,0.52294
10.891,2009.9,-15.537,2.8866,0.52066
10.941,2018.6,-15.475,2.8757,0.51839
10.991,2027.2,-15.417,2.875,0.51611
11.041,2035.7,-15.361,2.8798,0.51383
11.091,2044.2,-15.304,2.8796,0.51156
11.141,2052.7,-15.246,2.8725,0.50933
11.191,2061.1,-15.189,2.87,0.5071
11.241,2069.5,-15.134,2.8693,0.50487
11.291,2077.9,-15.081,2.8729,0.50264
11.341,2086.2,-15.029,2.8813,0.50042
11.391,2094.5,-14.977,2.8799,0.49821
11.441,2102.7,-14.925,2.8769,0.49601
11.491,2110.9,-14.872,2.8763,0.49383
11.541,2119.1,-14.82,2.8763,0.49165
11.591,2127.2,-14.771,2.8681,0.48946
11.641,2135.3,-14.72,2.8652,0.48729
11.691,2143.4,-14.668,2.8702,0.48514
11.741,2151.4,-14.617,2.8696,0.48298
11.791,2159.4,-14.567,2.8709,0.48084
11.841,2167.3,-14.517,2.8729,0.4787
11.891,2175.2,-14.469,2.8695,0.47655
11.941,2183.1,-14.417,2.8643,0.47445
11.991,2191,-14.371,2.8685,0.47231
12.041,2198.8,-14.324,2.869,0.47019
12.091,2206.5,-14.28,2.8648,0.46806
12.141,2214.3,-14.233,2.8642,0.46595
12.191,2222,-14.187,2.8626,0.46385
12.241,2229.6,-14.139,2.8653,0.46177
12.291,2237.3,-14.093,2.8588,0.4597
12.341,2244.8,-14.05,2.8662,0.4576
12.391,2252.4,-14.005,2.8628,0.45553
12.441,2259.9,-13.959,2.854,0.45348
12.491,2267.4,-13.921,2.8597,0.45138
12.541,2274.9,-13.877,2.8616,0.44933
12.591,2282.3,-13.834,2.8616,0.44728
12.641,2289.7,-13.792,2.8603,0.44524
12.691,2297,-13.749,2.8569,0.44321
12.741,2304.3,-13.709,2.8604,0.44117
12.791,2311.6,-13.672,2.8453,0.43911
12.841,2318.8,-13.633,2.8373,0.43707
12.891,2326.1,-13.594,2.8335,0.43504
12.941,2333.2,-13.551,2.8421,0.43304
12.991,2340.4,-13.508,2.8567,0.43105
13.041,2347.5,-13.466,2.8461,0.42907
13.091,2354.6,-13.426,2.8406,0.42707
13.141,2361.6,-13.388,2.842,0.42507
