# Simulation 4 (Up to date)
# 1005 data points written for 5 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (22.6 m/s)
#
# Temps (s),Altitude (m),Accélération verticale (m/s²),Calibres marge de stabilité (​),Mach number (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,6.2982,NaN,0.0054665
0.01,3.1491e-4,38.486,NaN,0.0055049
0.02,0.0028693,55.93,NaN,0.0056913
0.03,0.010145,58.628,NaN,0.0063094
0.04,0.023151,61.334,NaN,0.0073055
0.05,0.042157,64.026,NaN,0.0085963
0.06,0.067433,64.895,NaN,0.010115
0.07,0.099157,64.511,NaN,0.011762
0.08,0.13735,64.127,NaN,0.013468
0.09,0.18198,63.743,NaN,0.015208
0.1,0.23301,63.358,NaN,0.016969
0.11,0.29039,62.973,NaN,0.018737
0.12,0.35409,62.588,NaN,0.020511
0.13,0.42408,62.202,NaN,0.022286
0.14,0.5003,61.816,NaN,0.02406
0.15,0.58273,61.43,NaN,0.025831
0.16,0.67132,61.043,NaN,0.027588
0.17,0.76603,60.656,NaN,0.029339
0.18,0.86684,60.269,NaN,0.031084
0.19,0.97369,59.881,NaN,0.032822
0.2,1.0866,59.493,NaN,0.034552
0.21,1.2054,59.104,NaN,0.036274
0.22,1.3301,58.715,NaN,0.037987
0.23,1.4608,58.326,NaN,0.039691
0.24,1.5973,57.936,NaN,0.041385
0.25,1.7396,57.546,NaN,0.04307
0.26,1.8877,57.213,NaN,0.044741
0.27,2.0416,57.224,NaN,0.046405
0.28,2.2011,57.292,NaN,0.048069
0.29,2.3664,57.36,NaN,0.049737
0.3,2.5375,57.428,NaN,0.051408
0.31,2.7142,57.496,NaN,0.053084
0.32,2.8967,57.563,NaN,0.054763
0.33,3.085,57.631,NaN,0.056444
0.34,3.2791,57.698,NaN,0.058128
0.35,3.4789,57.766,NaN,0.059815
0.36,3.6844,57.833,NaN,0.061507
0.37,3.8958,57.9,NaN,0.063202
0.38,4.1129,57.967,NaN,0.064899
0.39,4.3359,58.034,NaN,0.066598
0.4,4.5646,58.101,NaN,0.068299
0.41,4.7992,58.168,NaN,0.070002
0.42,5.0395,58.235,1.1103,0.071708
0.435,5.411,58.341,1.1308,0.074269
0.4575,5.9928,58.5,1.1672,0.078114
0.49125,6.921,58.738,1.2394,0.083887
0.54125,8.4192,59.087,1.3099,0.092508
0.59125,10.065,59.414,1.3572,0.10119
0.64125,11.859,59.74,1.4351,0.10991
0.69125,13.802,60.062,1.4664,0.1187
0.74125,15.895,60.381,1.5096,0.12753
0.79125,18.139,60.698,1.536,0.13642
0.84125,20.534,61.013,1.5776,0.14535
0.89125,23.082,61.324,1.6182,0.15432
0.94125,25.783,61.633,1.6637,0.16334
0.99125,28.637,61.938,1.7076,0.17241
1.0413,31.647,62.24,1.7467,0.18153
1.0913,34.811,62.539,1.786,0.19069
1.1413,38.132,62.833,1.8378,0.1999
1.1913,41.61,63.124,1.88,0.20915
1.2413,45.245,63.41,1.9241,0.21845
1.2913,49.039,63.667,1.9749,0.22778
1.3413,52.992,63.818,2.009,0.23717
1.3913,57.104,63.954,2.0538,0.24657
1.4413,61.376,64.085,2.0136,0.25599
1.4913,65.808,64.211,1.9927,0.26543
1.5413,70.401,64.334,1.9883,0.2749
1.5913,75.155,64.452,1.9792,0.28439
1.6413,80.069,64.567,1.9822,0.2939
1.6913,85.145,64.679,1.9879,0.30343
1.7413,90.383,64.786,1.9867,0.31297
1.7913,95.783,64.882,2.004,0.32254
1.8413,101.34,64.794,2.0312,0.33213
1.8913,107.07,64.64,2.0599,0.34171
1.9413,112.95,64.482,2.0871,0.35126
1.9913,119,64.323,2.1227,0.36079
2.0413,125.21,64.161,2.1609,0.3703
2.0913,131.58,63.998,2.2144,0.37981
2.1413,138.11,63.826,2.2463,0.38926
2.1913,144.8,63.65,2.2581,0.3987
2.2413,151.65,63.468,2.2482,0.40811
2.2913,158.66,63.28,2.2417,0.4175
2.3413,165.82,63.086,2.2391,0.42686
2.3913,173.15,62.884,2.2412,0.43619
2.4412,180.63,62.676,2.2591,0.44549
2.4912,188.27,62.46,2.2801,0.45476
