# Simulation 3 (Up to date)
# 1006 data points written for 5 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (22.6 m/s)
#
# Temps (s),Altitude (m),Accélération verticale (m/s²),Calibres marge de stabilité (​),Mach number (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
4.6112,642.06,34.794,3.0177,0.78645
4.6612,655.38,34.762,3.0416,0.79171
4.7112,668.79,34.728,3.0634,0.79698
4.7612,682.28,34.671,3.0818,0.80227
4.8112,695.86,33.978,3.0955,0.80754
4.8612,709.52,32.89,3.1068,0.81271
4.9112,723.27,28.709,3.1136,0.8177
4.9612,737.1,23.004,3.1288,0.82209
5.0112,750.99,12.837,3.1493,0.82563
5.0612,764.92,0.83568,3.1656,0.82768
5.1112,778.87,-7.8992,3.1623,0.82795
5.1612,792.81,-15.066,3.1657,0.8269
5.2112,806.73,-19.616,3.1669,0.82482
5.2612,820.6,-22.978,3.1684,0.82206
5.3112,834.42,-25.962,3.1713,0.81881
5.3612,848.17,-27.484,3.1668,0.8151
5.4112,861.86,-27.283,3.1518,0.81116
5.4612,875.48,-27.065,3.1494,0.80726
5.5112,889.04,-26.846,3.1516,0.80339
5.5612,902.53,-26.627,3.1584,0.79956
5.6112,915.95,-26.414,3.1459,0.79575
5.6612,929.3,-26.207,3.1379,0.79196
5.7112,942.59,-26.006,3.1319,0.78821
5.7612,955.81,-25.814,3.1358,0.78448
5.8112,968.97,-25.624,3.1376,0.78078
5.8612,982.07,-25.442,3.1294,0.7771
5.9112,995.1,-25.263,3.1151,0.77344
5.9612,1008.1,-25.077,3.1141,0.76982
6.0112,1021,-24.886,3.123,0.76624
6.0612,1033.8,-24.703,3.1234,0.76267
6.1112,1046.6,-24.524,3.1148,0.75912
6.1612,1059.3,-24.347,3.1057,0.7556
6.2112,1072,-24.175,3.101,0.75211
6.2612,1084.6,-24.01,3.1019,0.74864
6.3112,1097.1,-23.852,3.1066,0.74517
6.3612,1109.6,-23.695,3.0946,0.74173
6.4112,1122,-23.534,3.0929,0.73833
6.4612,1134.4,-23.377,3.0873,0.73494
6.5112,1146.7,-23.217,3.0886,0.73158
6.5612,1158.9,-23.063,3.0857,0.72822
6.6112,1171.1,-22.905,3.0903,0.7249
6.6612,1183.2,-22.752,3.0847,0.72159
6.7112,1195.3,-22.603,3.0788,0.71831
6.7612,1207.3,-22.455,3.073,0.71504
6.8112,1219.3,-22.311,3.0689,0.71181
6.8612,1231.2,-22.168,3.064,0.7086
6.9112,1243.1,-22.029,3.0622,0.70541
6.9612,1254.8,-21.893,3.0625,0.70224
7.0112,1266.6,-21.765,3.0654,0.69907
7.0612,1278.3,-21.641,3.0475,0.69591
7.1112,1289.9,-21.51,3.0425,0.69279
