# Simulation 3 (Up to date)
# 1043 data points written for 5 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (22.2 m/s)
#
# Temps (s),Altitude (m),Accélération verticale (m/s²),Calibres marge de stabilité (​),Mach number (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
# Event LIFTOFF occurred at t=0.08 seconds
# Event LAUNCHROD occurred at t=0.48 seconds
# Event BURNOUT occurred at t=5.4012 seconds
# Event EJECTION_CHARGE occurred at t=5.4012 seconds
# Event APOGEE occurred at t=26.401 seconds
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=27.401 seconds
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=156.86 seconds
# Event GROUND_HIT occurred at t=220.55 seconds
# Event SIMULATION_END occurred at t=220.55 seconds
3.2512,332.12,60.157,2.6009,0.62492
3.3012,342.78,58.81,2.6151,0.63388
3.3512,353.6,57.454,2.6405,0.64264
3.4012,364.55,56.338,2.6695,0.65121
3.4512,375.65,55.429,2.7159,0.65961
3.5012,386.89,54.509,2.7361,0.66788
3.5512,398.27,53.584,2.7298,0.67601
3.6012,409.78,52.692,2.736,0.68402
3.6512,421.43,51.838,2.7587,0.69191
3.7012,433.2,50.986,2.7863,0.69966
3.7512,445.11,50.138,2.8218,0.7073
3.8012,457.14,49.32,2.8605,0.7148
3.8512,469.29,48.518,2.8625,0.72218
3.9012,481.57,47.711,2.8619,0.72946
3.9512,493.97,46.892,2.8773,0.7366
4.0012,506.48,45.963,2.9005,0.74364
4.0512,519.11,44.928,2.9356,0.75054
4.1012,531.86,43.885,2.9684,0.75729
4.1512,544.71,42.832,2.9585,0.76387
4.2012,557.68,41.982,2.9683,0.77032
4.2512,570.75,41.313,2.9884,0.77664
4.3012,583.92,40.652,3.0196,0.78287
4.3512,597.19,39.994,3.0553,0.78899
4.4012,610.57,39.23,3.06,0.79502
4.4512,624.05,38.368,3.0568,0.80096
4.5012,637.62,37.489,3.0738,0.80675
4.5512,651.28,36.602,3.1019,0.81242
4.6012,665.04,36.139,3.1351,0.81798
4.6512,678.89,36.059,3.1448,0.82345
4.7012,692.83,35.98,3.1475,0.82893
4.7512,706.86,35.911,3.1625,0.83439
4.8012,720.98,35.341,3.1859,0.83984
4.8512,735.19,34.316,3.2189,0.84521
4.9012,749.49,30.798,3.23,0.85043
4.9512,763.86,25.014,3.2302,0.85514
5.0012,778.31,15.619,3.2428,0.85898
5.0512,792.81,2.9685,3.2719,0.86142
5.1012,807.33,-7.0106,3.2887,0.86201
5.1512,821.84,-14.562,3.2834,0.86114
5.2012,836.33,-19.975,3.2757,0.85914
5.2512,850.78,-23.451,3.2762,0.85634
5.3012,865.17,-26.601,3.2847,0.85302
5.3512,879.5,-28.64,3.2879,0.84924
5.4012,893.76,-28.482,3.2715,0.84515
5.4512,907.95,-28.217,3.2632,0.84107
5.5012,922.06,-27.965,3.2636,0.83704
5.5512,936.11,-27.722,3.2685,0.83304
5.6012,950.09,-27.488,3.266,0.82908
5.6512,964,-27.255,3.255,0.82516
5.7012,977.85,-27.027,3.2447,0.82125
5.7512,991.62,-26.794,3.2446,0.81739
5.8012,1005.3,-26.562,3.2484,0.81355
5.8512,1019,-26.344,3.2418,0.80971
5.9012,1032.5,-26.117,3.2445,0.80594
5.9512,1046.1,-25.899,3.2289,0.80219
6.0012,1059.5,-25.688,3.2177,0.79848
6.0512,1072.9,-25.482,3.2088,0.79482
6.1012,1086.2,-25.292,3.2192,0.79116
6.1512,1099.5,-25.11,3.2292,0.78753
6.2012,1112.6,-24.929,3.2129,0.78394
6.2512,1125.8,-24.749,3.1986,0.78037
6.3012,1138.8,-24.569,3.1898,0.77681
6.3512,1151.9,-24.378,3.1962,0.77328
6.4012,1164.8,-24.19,3.2045,0.76977
6.4512,1177.7,-23.999,3.1989,0.76631
6.5012,1190.5,-23.817,3.1804,0.76287
6.5512,1203.3,-23.644,3.1707,0.75945
6.6012,1216,-23.483,3.1778,0.75604
6.6512,1228.6,-23.328,3.1902,0.75265
6.7012,1241.2,-23.181,3.184,0.74929
6.7512,1253.7,-23.031,3.1688,0.74595
6.8012,1266.2,-22.879,3.1606,0.74264
6.8512,1278.6,-22.719,3.1655,0.73935
6.9012,1291,-22.555,3.1811,0.7361
6.9512,1303.3,-22.399,3.1762,0.73285
7.0012,1315.5,-22.247,3.164,0.72962
7.0512,1327.7,-22.099,3.1554,0.72642
7.1012,1339.9,-21.959,3.156,0.72323
7.1512,1352,-21.822,3.1594,0.72006
7.2012,1364,-21.696,3.1595,0.71688
7.2512,1376,-21.565,3.1478,0.71375
7.3012,1387.9,-21.426,3.1529,0.71066
7.3512,1399.7,-21.289,3.159,0.70759
7.4012,1411.6,-21.158,3.1573,0.70451
7.4512,1423.3,-21.026,3.1502,0.70147
7.5012,1435,-20.9,3.1481,0.69843
7.5512,1446.7,-20.776,3.1483,0.69541
7.6012,1458.3,-20.648,3.1361,0.69243
7.6512,1469.8,-20.532,3.1426,0.68944
7.7012,1481.3,-20.411,3.1373,0.68649
7.7512,1492.8,-20.299,3.1377,0.68353
7.8012,1504.2,-20.184,3.1339,0.68061
7.8512,1515.5,-20.071,3.1286,0.67769
7.9012,1526.8,-19.96,3.1244,0.67479
7.9512,1538.1,-19.846,3.1267,0.67191
8.0012,1549.3,-19.732,3.1277,0.66906
8.0512,1560.4,-19.625,3.1273,0.66619
