d_65,-5.825027,-3.241346,263.6008,-82.98616,-19.67958,939.0112,,,
d_66,-5.984887,-3.446769,274.506,-85.94258,-17.97362,916.9234,,,
d_67,-6.169037,-3.682349,286.9668,-88.89904,-16.2672,894.8553,,,
d_68,-6.338429,-3.897438,298.3121,-91.85555,-14.56028,872.8021,,,
d_69,-6.507092,-4.110053,309.4982,-94.81206,-12.85331,850.7757,,,
d_70,-6.546091,-4.159018,312.0699,-96.83696,-11.68435,835.7119,,,
d_71,-6.751669,-4.416136,325.5431,-98.86187,-10.51534,820.655,,,
d_72,-6.957402,-4.672305,338.9051,-100.8868,-9.346312,805.6019,,,
d_73,-7.202639,-4.977031,354.7039,-102.9117,-8.177261,790.5611,,,
d_74,-7.40109,-5.223495,367.3982,-104.9366,-7.008204,775.5391,,,
d_75,-7.592753,-5.461427,379.5809,-106.9615,-5.83914,760.5247,,,
d_76,-7.797487,-5.715215,392.5013,-108.9864,-4.670068,745.5156,,,
d_77,-8.040838,-6.015841,407.7153,-111.0113,-3.500991,730.5183,,,
d_78,-8.266779,-6.29346,421.6857,-113.3395,-2.156826,713.2979,,,
d_79,-8.493141,-6.569899,435.5251,-115.6677,-0.8126583,696.0869,,,
d_80,-8.712323,-6.835986,448.7779,-117.9958,0.5315065,678.88,,,
d_81,-8.947345,-7.119831,462.8367,-120.324,1.875676,661.6901,,,
d_82,-9.233122,-7.463449,479.7378,-122.6984,3.246511,644.1931,,,
d_83,-9.550663,-7.843901,498.2878,-125.0727,4.61734,626.7007,,,
d_84,-9.805286,-8.148104,512.9926,-127.4471,5.988171,609.2009,,,
d_85,-10.06395,-8.456213,527.7718,-129.8214,7.359007,591.7224,,,
d_86,-10.36334,-8.811362,544.6687,-131.8887,8.552586,576.5428,,,
d_87,-10.66617,-9.168632,561.5211,-133.9561,9.74617,561.3626,,,
d_88,-10.96937,-9.52422,578.1506,-136.0234,10.93975,546.1716,,,
d_89,-11.26095,-9.864285,593.9174,-138.0908,12.13333,530.9965,,,
d_90,-11.58841,-10.24428,611.371,-139.8864,13.17,517.8447,,,
d_91,-11.94738,-10.65889,630.2086,-141.6819,14.20668,504.6948,,,
d_92,-12.30633,-11.07163,648.7416,-143.4775,15.24334,491.5435,,,
