#Frame	1
Y	-42
X	465
4	0
X	438
Y	-8
X	438
F	-11048
X	410
Y	0
X	429
b	8462
X	419
Y	16
X	410
T	7723
X	429
Y	8
X	465
P	23740
X	410
Y	-42
X	429
V	681
p	0
t	0
v	-3
t	0
#Frame	16
X	438
Y	-16
X	456
C	125
X	447
Y	8
X	429
a	8421
X	419
Y	-8
X	410
m	8401
X	447
Y	-8
X	447
3	8421
X	419
Y	-8
X	456
4	0
X	419
Y	-25
X	410
F	-11048
X	419
Y	8
X	429
b	8462
X	429
Y	8
X	438
T	7726
X	419
Y	-8
X	429
P	23738
X	438
Y	-25
X	429
V	752
p	4
t	0
v	1
t	0
#Frame	17
X	447
Y	-25
X	438
C	187
X	447
Y	8
X	438
a	8401
X	429
Y	16
X	447
m	8401
X	429
Y	0
X	465
3	8421
X	438
Y	-25
X	429
4	0
X	438
Y	-8
X	456
F	-11048
X	438
Y	8
X	456
b	8462
X	419
Y	8
X	438
T	7723
X	447
Y	-8
X	520
P	23735
X	401
Y	-16
X	429
V	830
p	7
t	0
v	2
t	0
#Frame	18
X	447
Y	-8
X	438
C	250
X	438
Y	-8
X	447
a	8421
X	438
Y	8
X	438
m	8401
X	429
Y	-8
X	419
3	8421
X	447
Y	-16
X	456
4	0
X	456
Y	-25
X	456
F	-11048
X	429
Y	-8
X	429
b	8462
X	419
Y	16
X	474
T	7723
X	410
Y	8
X	438
P	23732
X	447
Y	-8
X	447
V	896
p	11
t	0
v	7
t	0
#Frame	19
X	447
Y	-16
X	447
C	125
X	447
Y	-8
X	438
a	8421
X	438
Y	8
X	465
m	8401
X	429
Y	8
X	438
3	8421
X	438
Y	-16
X	447
4	0
X	419
Y	-8
X	447
F	-11048
X	438
Y	-8
X	419
b	8442
X	438
Y	8
X	429
T	7723
X	429
Y	0
X	438
P	23728
X	410
Y	-25
X	429
V	968
p	14
t	0
v	8
t	0
#Frame	20
X	438
Y	-8
X	447
C	250
X	429
Y	-8
X	419
a	8421
X	410
Y	-8
X	456
m	8401
X	419
Y	-8
X	447
3	8421
X	447
Y	-16
X	456
4	0
X	456
Y	-8
X	410
F	-11048
X	438
Y	-8
X	447
b	8462
X	438
Y	0
X	447
T	7723
X	447
Y	8
X	438
P	23724
X	438
Y	0
X	447
V	1039
p	19
t	0
v	16
t	0
#Frame	21
X	447
Y	-8
X	438
C	250
X	438
Y	-8
X	447
a	8401
X	447
Y	0
X	447
m	8401
X	447
Y	-8
X	438
3	8421
X	438
Y	-16
X	438
4	0
X	438
Y	-8
X	429
F	-11048
X	447
Y	0
X	419
b	8462
X	447
Y	8
X	474
T	7726
X	438
Y	0
X	447
P	23720
X	447
Y	-16
X	447
V	1119
p	23
t	0
v	18
t	0
#Frame	22
X	438
Y	-16
X	447
C	250
X	438
Y	-8
X	447
a	8421
X	456
Y	16
X	456
m	8401
X	447
Y	0
X	447
3	8421
X	447
Y	0
X	438
4	0
X	456
Y	-8
X	447
F	-11048
X	447
Y	8
X	438
b	8462
X	419
Y	8
X	429
T	7723
X	456
Y	-8
X	429
P	23715
X	456
Y	-25
X	456
V	1184
p	30
t	0
v	25
t	0
#Frame	23
X	456
Y	-16
X	456
C	250
X	438
Y	0
X	438
a	8421
X	419
Y	8
X	456
m	8401
X	456
Y	-8
X	447
3	8421
X	456
Y	-16
X	447
4	0
X	456
Y	-16
X	438
F	-11048
X	438
Y	0
X	465
b	8442
X	447
Y	0
X	447
T	7723
X	447
Y	0
X	447
P	23710
X	447
Y	-8
X	456
V	1257
p	35
t	0
v	27
t	0
#Frame	24
X	429
Y	8
X	447
C	187
X	429
Y	0
X	438
a	8421
X	447
Y	8
X	465
m	8401
X	465
Y	0
X	456
3	8421
X	447
Y	-8
X	456
4	0
X	456
Y	-8
X	447
F	-11048
X	447
Y	8
X	438
b	8462
X	456
