#Component=Raven
#Style=4-Output
#DateTime=2018-05-02 4:53:30 PM
#FlightNum=2
#FlightState=#2	O	91	1367	14	1	0	0	30411	29391	30411	26311	19008	16500	19062	16978	24696	24148	20032	16492	16468	16450	16450	16450	16450	0	8937	1048	0	8851	523
#ConvertedFromBinary
#R 3.0
#D Apr 29 2012 14:28:55
#Axis	2
#Num	25
#den	20
#Frame	1
X	0
Y	-8
X	-17
C	125
X	0
Y	-8
X	-17
a	9246
X	8
Y	-17
X	0
m	9286
X	-8
Y	-17
X	0
3	9246
X	0
Y	-26
X	8
4	0
X	8
Y	-26
X	-8
F	0
X	0
Y	-8
X	-8
b	9246
X	0
Y	-8
X	-8
T	7381
X	0
Y	8
X	0
P	23789
X	-8
Y	-8
X	0
V	0
p	157
t	0
v	-13
t	0
#Frame	2
X	-8
Y	-8
X	-8
C	125
X	-26
Y	-8
X	0
a	9246
X	0
Y	-8
X	-17
m	9286
X	-17
Y	-8
X	0
3	9246
X	8
Y	-8
X	8
4	0
X	-8
Y	8
X	-8
F	0
X	26
Y	-53
X	0
b	9246
X	-8
Y	-26
X	-8
T	7381
X	-8
Y	-26
X	17
P	23789
X	8
Y	53
X	44
V	0
p	157
t	0
v	-13
t	0
#Frame	3
X	71
Y	97
X	71
C	125
X	80
Y	-35
X	116
a	9246
X	125
Y	-44
X	116
m	9286
X	142
Y	-8
X	169
3	9246
X	214
Y	-17
X	196
4	0
X	268
Y	-26
X	294
F	0
X	321
Y	-17
X	321
b	0
X	330
Y	-44
X	330
T	7381
X	366
Y	-8
X	348
P	23789
X	393
Y	-26
X	348
V	0
p	157
t	0
v	-13
t	0
#Frame	4
X	384
Y	-8
X	402
C	125
X	393
Y	-26
X	402
a	8421
X	411
Y	-44
X	393
m	8462
X	375
Y	-17
X	366
3	8442
X	402
Y	26
X	348
4	0
X	384
Y	-17
X	375
F	0
X	402
Y	-26
X	393
b	9205
X	393
Y	-44
X	402
T	7381
X	402
Y	-35
X	402
P	23789
X	384
Y	-17
X	402
V	22
p	157
t	0
v	-14
t	0
#Frame	5
X	402
Y	-26
X	402
C	125
X	384
Y	-8
X	402
a	9225
X	428
Y	-26
X	411
m	9246
X	411
Y	-26
X	402
3	9225
X	393
Y	-44
X	402
4	0
X	402
Y	35
X	420
F	0
X	402
Y	-8
X	393
b	9165
X	420
Y	-44
X	402
T	7384
X	420
Y	-26
X	393
P	23787
X	402
Y	17
X	420
V	86
p	0
t	0
v	-14
t	0
O	91	1367	14	1	0	0	30411	29391	30411	26311	19008	16500	19062	16978	24696	24148	20032	16492	16468	16450	16450	16450	16450	0	8937	1048	0	8851	523
#Frame	7
X	402
Y	-26
X	411
C	125
X	420
Y	-26
X	411
a	9205
X	411
Y	-44
X	411
m	9205
X	402
Y	-26
X	402
3	9205
X	437
Y	-8
X	437
4	0
X	420
Y	-17
X	428
F	-11020
X	437
Y	-8
X	402
b	9185
X	446
Y	-26
X	428
T	7384
X	402
Y	-8
X	384
P	23786
X	437
Y	8
X	437
V	166
p	0
t	0
v	-14
t	0
#Frame	8
X	428
Y	-8
X	437
C	125
X	437
Y	0
X	411
a	9205
X	402
Y	-26
X	446
m	9205
X	437
Y	8
X	437
3	9205
X	411
Y	-44
X	411
4	0
X	437
Y	-26
X	411
F	-11044
X	428
Y	8
X	420
b	9205
X	437
Y	-26
X	428
T	7381
X	437
Y	-8
X	446
P	23786
X	402
Y	-8
X	402
V	221
